		 data/config/Apache_AllMeasurements.csv 		
#
 0, st:0.5_m:50_rows:192_x9_how:k3,  0.25,  0.40, - *   --------      |                   ,  0.00,  2.45
 0, st:0.5_m:50_rows:192_x9_how:k5,  0.28,  0.35, -- *  -------       |                   ,  0.00,  2.41
 0, st:0.5_m:0_rows:192_x9_how:k2,  0.28,  0.53, -  *    ------      |                   ,  0.00,  2.55
 0, st:0.25_m:0_rows:192_x9_how:k2,  0.29,  0.50, -  *   -------      |                   ,  0.00,  2.95
 0, st:0.25_m:50_rows:192_x9_how:k3,  0.29,  0.40, -  *  ------------- |                   ,  0.00,  2.89
 0, st:0.5_m:0_rows:192_x9_how:k3,  0.29,  0.41, -  *  -----         |                   ,  0.00,  2.89
 0, st:0.25_m:0_rows:192_x9_how:k3,  0.30,  0.46, -  *   -----        |                   ,  0.00,  2.70
 0, st:0.5_m:100_rows:192_x9_how:k5,  0.30,  0.35, -  *  --------      |                   ,  0.00,  2.45
 0, st:0.25_m:100_rows:192_x9_how:k2,  0.31,  0.38, -- *  --------------|                   ,  0.00,  3.01
 0, st:0.25_m:100_rows:192_x9_how:k3,  0.31,  0.40, -  *  --------------|                   ,  0.00,  2.76
 0, st:0.25_m:50_rows:192_x9_how:k2,  0.31,  0.41, -  *  -----------   |                   ,  0.00,  3.33
 0, st:0.5_m:100_rows:192_x9_how:k2,  0.31,  0.44, -  *   -----------  |                   ,  0.00,  2.89
 0, st:0.5_m:100_rows:192_x9_how:k3,  0.31,  0.44, -  *   ---------    |                   ,  0.00,  2.83
 0, st:0.5_m:50_rows:192_x9_how:k2,  0.31,  0.44, -  *  --------      |                   ,  0.00,  2.89
 0, st:0.25_m:50_rows:192_x9_how:k5,  0.35,  0.45, --  *  -------------|-                  ,  0.00,  3.37
 0, st:0.5_m:0_rows:192_x9_how:k5,  0.35,  0.36, --  * -----         |                   ,  0.00,  2.75
 0, st:0.25_m:0_rows:192_x9_how:k5,  0.35,  0.34, --  * -----         |                   ,  0.00,  2.60
 0, st:0.25_m:100_rows:192_x9_how:k5,  0.38,  0.49, --  *   ------------|-                  ,  0.00,  3.14
 0, st:0.25_m:100_rows:192_x9_how:avearge,  0.41,  0.50, --  *   ------------|                   ,  0.00,  3.39
 0, st:0.25_m:50_rows:192_x9_how:avearge,  0.50,  0.67,  --  *     ---------|                   ,  0.00,  2.71
#
 1, st:0.5_m:100_rows:192_x9_how:avearge,  0.71,  0.55,  ----   *  -------  |                   ,  0.00,  2.77
 1, st:0.25_m:0_rows:192_x9_how:avearge,  0.75,  0.63,  ----   *   ------- |                   ,  0.00,  2.96
 1, st:0.5_m:50_rows:192_x9_how:avearge,  0.76,  0.54,  ----   *   -----   |                   ,  0.00,  2.57
 1, st:0.5_m:0_rows:192_x9_how:avearge,  0.81,  0.54,   ---    *  ------  |                   ,  0.00,  2.74
