		 data/misc/HSMGP_num.csv 		
#
 0, st:0.5_m:0_rows:3456_x14_how:k2,  0.01,  0.02, *                   |                   ,  0.00,  0.57
 0, st:0.5_m:0_rows:3456_x14_how:k3,  0.01,  0.01, *                   |                   ,  0.00,  0.62
 0, st:0.5_m:0_rows:3456_x14_how:k5,  0.01,  0.02, *                   |                   ,  0.00,  0.58
 0, st:0.25_m:0_rows:3456_x14_how:k2,  0.02,  0.03, *                   |                   ,  0.00,  1.03
 0, st:0.25_m:0_rows:3456_x14_how:k3,  0.02,  0.03, *                   |                   ,  0.00,  1.08
 0, st:0.25_m:0_rows:3456_x14_how:k5,  0.02,  0.03, *                   |                   ,  0.00,  0.93
 0, st:0.5_m:100_rows:3456_x14_how:k3,  0.03,  0.03, *                   |                   ,  0.00,  0.79
 0, st:0.5_m:100_rows:3456_x14_how:k5,  0.03,  0.04, *                   |                   ,  0.00,  1.43
 0, st:0.5_m:100_rows:3456_x14_how:k2,  0.03,  0.04, *-                  |                   ,  0.00,  2.28
 0, st:0.5_m:50_rows:3456_x14_how:k5,  0.03,  0.04, *                   |                   ,  0.00,  1.64
 0, st:0.5_m:50_rows:3456_x14_how:k3,  0.03,  0.04, *-                  |                   ,  0.00,  2.33
 0, st:0.25_m:100_rows:3456_x14_how:k2,  0.03,  0.04, *-                  |                   ,  0.00,  1.72
 0, st:0.5_m:50_rows:3456_x14_how:k2,  0.03,  0.04, *                   |                   ,  0.00,  1.74
 0, st:0.25_m:100_rows:3456_x14_how:k5,  0.04,  0.04, *-                  |                   ,  0.00,  1.32
 0, st:0.25_m:100_rows:3456_x14_how:k3,  0.04,  0.04, *                   |                   ,  0.00,  1.47
 0, st:0.25_m:50_rows:3456_x14_how:k2,  0.04,  0.04, *                   |                   ,  0.00,  1.15
 0, st:0.25_m:50_rows:3456_x14_how:k5,  0.04,  0.05, *-                  |                   ,  0.00,  2.56
 0, st:0.25_m:50_rows:3456_x14_how:k3,  0.04,  0.05, *-                  |                   ,  0.00,  2.20
 0, st:0.25_m:0_rows:3456_x14_how:avearge,  0.05,  0.06, *---                |                   ,  0.00,  1.87
 0, st:0.25_m:100_rows:3456_x14_how:avearge,  0.07,  0.09, *---                |                   ,  0.00,  2.38
 0, st:0.25_m:50_rows:3456_x14_how:avearge,  0.08,  0.10, *----               |                   ,  0.00,  3.82
 0, st:0.5_m:0_rows:3456_x14_how:avearge,  0.12,  0.17,  *----              |                   ,  0.00,  4.00
 0, st:0.5_m:100_rows:3456_x14_how:avearge,  0.13,  0.40,  *  -----           |                   ,  0.00,  4.52
#
 1, st:0.5_m:50_rows:3456_x14_how:avearge,  0.36,  0.42, -  *------          |                   ,  0.00,  4.44
