		 data/config/SQL_AllMeasurements.csv 		
#
 0, st:0.5_m:0_rows:4653_x38_how:k5,  0.47,  0.48,  -  *  -------      |                   ,  0.00,  3.09
 0, st:0.5_m:50_rows:4653_x38_how:k5,  0.50,  0.55, --   *  ------      |                   ,  0.00,  2.76
 0, st:0.5_m:100_rows:4653_x38_how:k2,  0.50,  0.54,  -   *  -------     |                   ,  0.00,  3.92
 0, st:0.25_m:0_rows:4653_x38_how:k2,  0.52,  0.61, --   *  ---------   |                   ,  0.00,  3.55
 0, st:0.5_m:0_rows:4653_x38_how:k3,  0.52,  0.55,  -   *  -------     |                   ,  0.00,  3.92
 0, st:0.5_m:50_rows:4653_x38_how:k2,  0.53,  0.61,  --  *   -----      |                   ,  0.00,  3.68
 0, st:0.5_m:100_rows:4653_x38_how:k5,  0.53,  0.57, --   *  ------      |                   ,  0.00,  3.00
 0, st:0.25_m:0_rows:4653_x38_how:k3,  0.54,  0.58, --   *  -------     |                   ,  0.00,  2.97
 0, st:0.5_m:0_rows:4653_x38_how:k2,  0.54,  0.67, --   *   -------    |                   ,  0.00,  3.88
 0, st:0.25_m:100_rows:4653_x38_how:k5,  0.55,  0.64, --   *   -------    |                   ,  0.00,  3.12
 0, st:0.25_m:0_rows:4653_x38_how:k5,  0.56,  0.63, ---  *   -------    |                   ,  0.00,  3.92
 0, st:0.5_m:50_rows:4653_x38_how:k3,  0.56,  0.55,  --  *   ------     |                   ,  0.00,  2.97
 0, st:0.25_m:0_rows:4653_x38_how:avearge,  0.58,  0.68,  -   *   -------    |                   ,  0.00,  2.77
 0, st:0.5_m:100_rows:4653_x38_how:k3,  0.59,  0.63,  --  *   -------    |                   ,  0.00,  3.65
 0, st:0.25_m:100_rows:4653_x38_how:k3,  0.59,  0.64,  --   *  ---------  |                   ,  0.01,  3.11
 0, st:0.25_m:50_rows:4653_x38_how:k5,  0.61,  0.69,  --   *   ------    |                   ,  0.00,  3.04
 0, st:0.25_m:100_rows:4653_x38_how:avearge,  0.61,  0.64,  --   *  -------    |                   ,  0.00,  3.03
 0, st:0.25_m:50_rows:4653_x38_how:k2,  0.62,  0.59,  --   *  ------     |                   ,  0.00,  3.67
 0, st:0.25_m:100_rows:4653_x38_how:k2,  0.64,  0.74,  --   *    -------  |                   ,  0.00,  3.17
 0, st:0.25_m:50_rows:4653_x38_how:k3,  0.65,  0.78,  --   *    ------   |                   ,  0.00,  2.70
 0, st:0.5_m:0_rows:4653_x38_how:avearge,  0.66,  0.66,  --   *   ------    |                   ,  0.00,  2.65
 0, st:0.25_m:50_rows:4653_x38_how:avearge,  0.69,  0.69,  ---   *   -----    |                   ,  0.00,  2.85
 0, st:0.5_m:50_rows:4653_x38_how:avearge,  0.73,  0.64,  ---   *  ------    |                   ,  0.00,  2.60
 0, st:0.5_m:100_rows:4653_x38_how:avearge,  0.75,  0.69,  ---   *   -----    |                   ,  0.00,  2.43
