		 data/config/SS-A.csv 		
#
 0, st:0.5_m:0_rows:1343_x3_how:k5,  0.02,  0.05, *                   |                   ,  0.00,  3.02
 0, st:0.5_m:0_rows:1343_x3_how:k2,  0.02,  0.07, *                   |                   ,  0.00,  2.99
 0, st:0.5_m:0_rows:1343_x3_how:k3,  0.02,  0.05, *                   |                   ,  0.00,  1.82
 0, st:0.5_m:100_rows:1343_x3_how:k3,  0.02,  0.06, *                   |                   ,  0.00,  3.08
 0, st:0.25_m:0_rows:1343_x3_how:k5,  0.02,  0.07, *                   |                   ,  0.00,  4.32
 0, st:0.25_m:100_rows:1343_x3_how:k5,  0.02,  0.07, *                   |                   ,  0.00,  3.29
 0, st:0.25_m:100_rows:1343_x3_how:k3,  0.02,  0.07, *                   |                   ,  0.00,  3.39
 0, st:0.25_m:0_rows:1343_x3_how:k3,  0.02,  0.06, *                   |                   ,  0.00,  3.01
 0, st:0.5_m:100_rows:1343_x3_how:k5,  0.02,  0.07, *                   |                   ,  0.00,  2.91
 0, st:0.5_m:100_rows:1343_x3_how:k2,  0.02,  0.08, *                   |                   ,  0.00,  3.18
 0, st:0.25_m:0_rows:1343_x3_how:k2,  0.02,  0.07, *                   |                   ,  0.00,  3.27
 0, st:0.25_m:100_rows:1343_x3_how:k2,  0.02,  0.07, *                   |                   ,  0.00,  3.31
 0, st:0.25_m:50_rows:1343_x3_how:k5,  0.02,  0.07, *-                  |                   ,  0.00,  3.21
 0, st:0.5_m:50_rows:1343_x3_how:k5,  0.02,  0.07, *                   |                   ,  0.00,  3.15
 0, st:0.5_m:50_rows:1343_x3_how:k3,  0.02,  0.08, *                   |                   ,  0.00,  4.52
 0, st:0.25_m:50_rows:1343_x3_how:k2,  0.03,  0.09, *                   |                   ,  0.00,  3.26
 0, st:0.25_m:50_rows:1343_x3_how:k3,  0.03,  0.09, *-                  |                   ,  0.00,  3.29
 0, st:0.5_m:50_rows:1343_x3_how:k2,  0.03,  0.10, *-                  |                   ,  0.00,  3.26
 0, st:0.25_m:0_rows:1343_x3_how:avearge,  0.04,  0.10, *-                  |                   ,  0.00,  5.17
 0, st:0.25_m:100_rows:1343_x3_how:avearge,  0.04,  0.14, *-                  |                   ,  0.00,  3.11
#
 1, st:0.25_m:50_rows:1343_x3_how:avearge,  0.08,  0.18, *--                 |                   ,  0.00,  4.63
 1, st:0.5_m:100_rows:1343_x3_how:avearge,  0.08,  0.24, *--                 |                   ,  0.00,  6.95
 1, st:0.5_m:0_rows:1343_x3_how:avearge,  0.08,  0.25, *--                 |                   ,  0.00,  5.08
 1, st:0.5_m:50_rows:1343_x3_how:avearge,  0.10,  0.37, * --                |                   ,  0.00,  6.01
