		 data/config/SS-B.csv 		
#
 0, st:0.5_m:0_rows:206_x3_how:k2,  0.11,  0.20,  * ---              |                   ,  0.00,  2.13
 0, st:0.25_m:0_rows:206_x3_how:k2,  0.12,  0.22,  * ---              |                   ,  0.00,  2.14
 0, st:0.5_m:0_rows:206_x3_how:k5,  0.12,  0.18,  * ---              |                   ,  0.00,  1.50
 0, st:0.5_m:0_rows:206_x3_how:k3,  0.13,  0.16,  *---               |                   ,  0.00,  1.00
 0, st:0.25_m:0_rows:206_x3_how:k3,  0.14,  0.21,  * ---              |                   ,  0.00,  2.63
 0, st:0.25_m:0_rows:206_x3_how:k5,  0.14,  0.20,  * ---              |                   ,  0.00,  1.61
 0, st:0.5_m:50_rows:206_x3_how:k3,  0.15,  0.27, -*  --              |                   ,  0.00,  1.76
 0, st:0.25_m:50_rows:206_x3_how:k5,  0.16,  0.28, - * ---             |                   ,  0.00,  1.73
 0, st:0.5_m:50_rows:206_x3_how:k5,  0.17,  0.21, - *---              |                   ,  0.00,  1.58
 0, st:0.5_m:100_rows:206_x3_how:k3,  0.17,  0.29, - * -               |                   ,  0.00,  1.21
 0, st:0.5_m:100_rows:206_x3_how:k5,  0.18,  0.25, - * --              |                   ,  0.00,  1.62
 0, st:0.5_m:50_rows:206_x3_how:k2,  0.18,  0.32,   * -               |                   ,  0.00,  2.42
 0, st:0.5_m:100_rows:206_x3_how:k2,  0.19,  0.33, - *                 |                   ,  0.00,  3.24
 0, st:0.25_m:50_rows:206_x3_how:k2,  0.20,  0.33, - *  -              |                   ,  0.00,  2.08
 0, st:0.25_m:100_rows:206_x3_how:k2,  0.20,  0.32, - *  -              |                   ,  0.00,  2.23
 0, st:0.25_m:50_rows:206_x3_how:k3,  0.21,  0.30, - * ---             |                   ,  0.00,  1.96
 0, st:0.25_m:100_rows:206_x3_how:k5,  0.23,  0.32, - *  --             |                   ,  0.00,  2.00
 0, st:0.25_m:100_rows:206_x3_how:k3,  0.23,  0.30, - *  --             |                   ,  0.00,  1.98
 0, st:0.25_m:100_rows:206_x3_how:avearge,  0.25,  0.30, -  * ----           |                   ,  0.00,  1.68
 0, st:0.25_m:50_rows:206_x3_how:avearge,  0.28,  0.31, -- * -----          |                   ,  0.00,  2.09
 0, st:0.5_m:100_rows:206_x3_how:avearge,  0.35,  0.35, --  * -----         |                   ,  0.00,  2.44
 0, st:0.25_m:0_rows:206_x3_how:avearge,  0.37,  0.39, --  *  -----        |                   ,  0.00,  2.24
 0, st:0.5_m:0_rows:206_x3_how:avearge,  0.38,  0.38, --  *  -------      |                   ,  0.00,  2.72
 0, st:0.5_m:50_rows:206_x3_how:avearge,  0.40,  0.38,  -  *  -----        |                   ,  0.00,  2.66
