		 data/config/SS-C.csv 		
#
 0, st:0.25_m:0_rows:1512_x3_how:k5,  0.02,  0.11, *---                |                   ,  0.00,  2.65
 0, st:0.5_m:0_rows:1512_x3_how:k3,  0.02,  0.10, *-                  |                   ,  0.00,  1.67
 0, st:0.25_m:0_rows:1512_x3_how:k3,  0.02,  0.11, *---                |                   ,  0.00,  2.79
 0, st:0.5_m:100_rows:1512_x3_how:k3,  0.02,  0.15, *---                |                   ,  0.00,  2.03
 0, st:0.25_m:0_rows:1512_x3_how:k2,  0.03,  0.09, *--                 |                   ,  0.00,  1.68
 0, st:0.5_m:0_rows:1512_x3_how:k2,  0.03,  0.10, *-                  |                   ,  0.00,  1.45
 0, st:0.5_m:100_rows:1512_x3_how:k2,  0.03,  0.13, *----               |                   ,  0.00,  1.80
 0, st:0.5_m:100_rows:1512_x3_how:k5,  0.03,  0.16, *----               |                   ,  0.00,  2.29
 0, st:0.25_m:100_rows:1512_x3_how:k2,  0.04,  0.14, *-----              |                   ,  0.00,  2.49
 0, st:0.5_m:50_rows:1512_x3_how:k3,  0.04,  0.19, *-----              |                   ,  0.00,  2.28
 0, st:0.25_m:50_rows:1512_x3_how:k2,  0.04,  0.17, *-----              |                   ,  0.00,  2.85
 0, st:0.25_m:100_rows:1512_x3_how:k5,  0.04,  0.16, *----               |                   ,  0.00,  2.72
 0, st:0.25_m:100_rows:1512_x3_how:k3,  0.04,  0.15, *-----              |                   ,  0.00,  2.80
 0, st:0.5_m:0_rows:1512_x3_how:k5,  0.04,  0.14, *--                 |                   ,  0.00,  2.09
 0, st:0.5_m:50_rows:1512_x3_how:k5,  0.05,  0.21, *-----              |                   ,  0.00,  2.47
 0, st:0.25_m:50_rows:1512_x3_how:k3,  0.05,  0.20, *-----              |                   ,  0.00,  2.40
 0, st:0.5_m:50_rows:1512_x3_how:k2,  0.05,  0.18, *-----              |                   ,  0.00,  2.45
 0, st:0.25_m:50_rows:1512_x3_how:k5,  0.06,  0.23, * -----             |                   ,  0.00,  2.53
 0, st:0.25_m:100_rows:1512_x3_how:avearge,  0.11,  0.38, *  ---              |                   ,  0.00,  2.50
#
 1, st:0.5_m:100_rows:1512_x3_how:avearge,  0.13,  0.48,  *  ----            |                   ,  0.00,  3.81
 1, st:0.25_m:50_rows:1512_x3_how:avearge,  0.13,  0.39,  * ---              |                   ,  0.00,  2.49
 1, st:0.25_m:0_rows:1512_x3_how:avearge,  0.13,  0.40,  * ---              |                   ,  0.00,  2.56
 1, st:0.5_m:50_rows:1512_x3_how:avearge,  0.15,  0.53,  *   -----          |                   ,  0.00,  4.62
 1, st:0.5_m:0_rows:1512_x3_how:avearge,  0.16,  0.48,  *  -----           |                   ,  0.00,  2.89
