		 data/config/SS-E.csv 		
#
 0, st:0.5_m:100_rows:756_x3_how:k3,  0.07,  0.61, *  -----            |                   ,  0.00,  3.24
 0, st:0.5_m:0_rows:756_x3_how:k2,  0.08,  0.73, *   ---             |                   ,  0.00,  2.56
 0, st:0.25_m:100_rows:756_x3_how:k2,  0.08,  0.62, *  ----             |                   ,  0.00,  2.71
 0, st:0.25_m:50_rows:756_x3_how:k2,  0.08,  0.66, *  -----            |                   ,  0.00,  4.77
 0, st:0.25_m:50_rows:756_x3_how:k3,  0.08,  0.61, *  ----             |                   ,  0.00,  3.06
 0, st:0.25_m:0_rows:756_x3_how:k3,  0.08,  0.94, *    ---            |                   ,  0.00,  2.96
 0, st:0.25_m:100_rows:756_x3_how:k3,  0.09,  0.62, *  ----             |                   ,  0.00,  5.21
 0, st:0.25_m:0_rows:756_x3_how:k2,  0.09,  0.83, *   ----            |                   ,  0.00,  3.13
 0, st:0.5_m:0_rows:756_x3_how:k3,  0.09,  0.92, *    --             |                   ,  0.00,  2.67
 0, st:0.5_m:100_rows:756_x3_how:k2,  0.10,  0.58, *  ----             |                   ,  0.00,  3.08
 0, st:0.5_m:50_rows:756_x3_how:k3,  0.11,  0.74, *   -----           |                   ,  0.00,  2.94
 0, st:0.5_m:0_rows:756_x3_how:k5,  0.11,  1.06, *     -             |                   ,  0.00,  2.56
 0, st:0.5_m:50_rows:756_x3_how:k2,  0.11,  0.62, *  ----             |                   ,  0.00,  3.42
 0, st:0.5_m:50_rows:756_x3_how:k5,  0.11,  0.70, *   -----           |                   ,  0.00,  2.70
 0, st:0.5_m:100_rows:756_x3_how:k5,  0.12,  0.80, *   ----            |                   ,  0.00,  5.42
 0, st:0.25_m:100_rows:756_x3_how:k5,  0.13,  0.80, *   ---             |                   ,  0.00,  4.42
 0, st:0.25_m:50_rows:756_x3_how:k5,  0.14,  0.83, *   -----           |                   ,  0.00,  3.16
 0, st:0.25_m:0_rows:756_x3_how:k5,  0.15,  0.84, *   ---             |                   ,  0.00,  2.67
 0, st:0.25_m:100_rows:756_x3_how:avearge,  0.18,  0.57,  * -----            |                   ,  0.00,  5.49
 0, st:0.5_m:50_rows:756_x3_how:avearge,  0.24,  0.60,  * -----            |                   ,  0.00,  6.98
 0, st:0.25_m:0_rows:756_x3_how:avearge,  0.26,  0.62,  * ---              |                   ,  0.00,  3.59
 0, st:0.5_m:100_rows:756_x3_how:avearge,  0.26,  0.60,  * -----            |                   ,  0.00,  5.32
 0, st:0.25_m:50_rows:756_x3_how:avearge,  0.27,  0.70,  *  ---             |                   ,  0.00,  5.99
 0, st:0.5_m:0_rows:756_x3_how:avearge,  0.35,  0.63,   * -----           |                   ,  0.00,  4.12
