		 data/config/SS-F.csv 		
#
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.11,  0.44,  *  -------         |                   ,  0.00,  3.07
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.12,  0.41,  *  --------        |                   ,  0.00,  3.19
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.12,  0.37,  * ---------        |                   ,  0.00,  3.40
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.12,  0.40,  *  --------        |                   ,  0.00,  3.20
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.13,  0.39,  *  --------        |                   ,  0.00,  3.20
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.13,  0.38,  * ---------        |                   ,  0.00,  3.40
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.13,  0.42,  *  -------         |                   ,  0.00,  3.32
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.14,  0.49,  *   ------         |                   ,  0.00,  2.97
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.14,  0.58,  *   -------        |                   ,  0.00,  3.41
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.14,  0.48,  *  --------        |                   ,  0.00,  3.30
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.15,  0.59,  *    -------       |                   ,  0.00,  3.70
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.16,  0.54,  *   --------       |                   ,  0.00,  3.46
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.16,  0.63,  *    -----         |                   ,  0.00,  3.19
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.16,  0.57,  *   --------       |                   ,  0.00,  3.98
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.16,  0.48,  *  ---------       |                   ,  0.00,  4.02
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.21,  0.75,   *    -----        |                   ,  0.00,  3.39
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.22,  0.65,   *   ------        |                   ,  0.00,  3.20
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.23,  0.62,   *   ------        |                   ,  0.00,  3.17
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.24,  0.64,   *   -------       |                   ,  0.00,  3.94
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.26,  0.62,   *   --------      |                   ,  0.00,  3.50
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.31,  0.53, -  *  --------      |                   ,  0.00,  3.14
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.33,  0.44, -  * ---------      |                   ,  0.00,  3.56
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.34,  0.49, -  *  ---------     |                   ,  0.00,  3.15
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.36,  0.48, -  *  -------       |                   ,  0.00,  3.39
