		 data/config/SS-G.csv 		
#
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.11,  0.44,  *  --------        |                   ,  0.00,  3.72
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.12,  0.45,  *  --------        |                   ,  0.00,  3.64
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.12,  0.38,  * ---------        |                   ,  0.00,  3.76
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.13,  0.46,  *  -------         |                   ,  0.00,  3.32
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.13,  0.45,  *  --------        |                   ,  0.00,  3.60
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.14,  0.47,  *  --------        |                   ,  0.00,  3.15
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.14,  0.58,  *   -------        |                   ,  0.00,  3.10
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.14,  0.49,  *   -------        |                   ,  0.00,  3.08
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.15,  0.55,  *   -------        |                   ,  0.00,  3.14
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.15,  0.66,  *    -------       |                   ,  0.00,  3.65
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.16,  0.53,  *   --------       |                   ,  0.00,  3.72
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.17,  0.64,  *    -------       |                   ,  0.00,  3.62
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.17,  0.58,  *   --------       |                   ,  0.00,  3.78
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.18,  0.58,  *   --------       |                   ,  0.00,  3.56
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.19,  0.70,  *     ----         |                   ,  0.00,  3.37
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.24,  0.67,   *   ------        |                   ,  0.00,  3.49
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.24,  0.74,   *    ------       |                   ,  0.00,  3.39
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.24,  0.71,   *    -----        |                   ,  0.00,  3.43
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.25,  0.69,   *    ------       |                   ,  0.00,  3.72
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.28,  0.64,   *   -------       |                   ,  0.00,  3.56
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.32,  0.49, -  *  --------      |                   ,  0.00,  3.56
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.33,  0.54, -  *  --------      |                   ,  0.00,  3.65
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.37,  0.50, -  *  ---------     |                   ,  0.00,  4.06
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.37,  0.48, -  *  -------       |                   ,  0.00,  3.28
