		 data/config/SS-H.csv 		
#
 0, st:0.25_m:100_rows:259_x4_how:k2,  0.23,  0.43,   * ------          |                   ,  0.00,  4.42
 0, st:0.5_m:100_rows:259_x4_how:k2,  0.23,  0.39,   * -----           |                   ,  0.00,  3.63
 0, st:0.5_m:100_rows:259_x4_how:k5,  0.24,  0.44,   * -----           |                   ,  0.00,  3.63
 0, st:0.5_m:100_rows:259_x4_how:k3,  0.24,  0.43,   * ------          |                   ,  0.00,  4.20
 0, st:0.5_m:50_rows:259_x4_how:k2,  0.25,  0.42,   * -------         |                   ,  0.00,  3.76
 0, st:0.5_m:0_rows:259_x4_how:k3,  0.25,  0.46,   * -----           |                   ,  0.00,  3.60
 0, st:0.25_m:100_rows:259_x4_how:k3,  0.25,  0.51,   *  ------         |                   ,  0.00,  3.80
 0, st:0.25_m:50_rows:259_x4_how:k2,  0.25,  0.46,   * -----           |                   ,  0.00,  3.87
 0, st:0.5_m:50_rows:259_x4_how:k3,  0.26,  0.47,   *  ------         |                   ,  0.00,  3.68
 0, st:0.25_m:100_rows:259_x4_how:k5,  0.27,  0.47,   *  -----          |                   ,  0.00,  4.44
 0, st:0.5_m:0_rows:259_x4_how:k5,  0.28,  0.46,   *  ----           |                   ,  0.00,  2.70
 0, st:0.5_m:50_rows:259_x4_how:k5,  0.28,  0.47,   *  -----          |                   ,  0.00,  3.85
 0, st:0.25_m:50_rows:259_x4_how:k5,  0.29,  0.49,   *  -----          |                   ,  0.00,  3.05
 0, st:0.25_m:0_rows:259_x4_how:k3,  0.29,  0.46, - *  -----          |                   ,  0.00,  3.53
 0, st:0.25_m:0_rows:259_x4_how:k2,  0.30,  0.49,   *  -----          |                   ,  0.00,  3.89
 0, st:0.5_m:0_rows:259_x4_how:k2,  0.30,  0.48,   *  ----           |                   ,  0.00,  3.44
 0, st:0.25_m:50_rows:259_x4_how:k3,  0.32,  0.52, - *  ------         |                   ,  0.00,  3.73
 0, st:0.25_m:0_rows:259_x4_how:k5,  0.32,  0.46, - *  -----          |                   ,  0.00,  2.34
 0, st:0.25_m:100_rows:259_x4_how:avearge,  0.34,  0.52, -  *  -------       |                   ,  0.00,  3.87
 0, st:0.25_m:50_rows:259_x4_how:avearge,  0.39,  0.50, -  *  -----         |                   ,  0.00,  3.79
#
 1, st:0.5_m:100_rows:259_x4_how:avearge,  0.47,  0.46, --  * ------        |                   ,  0.00,  3.81
 1, st:0.25_m:0_rows:259_x4_how:avearge,  0.47,  0.44, --  * -----         |                   ,  0.00,  4.50
 1, st:0.5_m:50_rows:259_x4_how:avearge,  0.50,  0.45, --  * -----         |                   ,  0.00,  3.96
 1, st:0.5_m:0_rows:259_x4_how:avearge,  0.51,  0.47, --  * -----         |                   ,  0.00,  4.03
