		 data/config/SS-I.csv 		
#
 0, st:0.5_m:0_rows:1080_x5_how:k2,  0.07,  0.10, *--                 |                   ,  0.00,  2.30
 0, st:0.25_m:100_rows:1080_x5_how:k2,  0.08,  0.14, *-----              |                   ,  0.00,  3.88
 0, st:0.25_m:0_rows:1080_x5_how:k2,  0.08,  0.10, *---                |                   ,  0.00,  3.86
 0, st:0.5_m:100_rows:1080_x5_how:k2,  0.09,  0.14, *-----              |                   ,  0.00,  2.84
 0, st:0.25_m:100_rows:1080_x5_how:k3,  0.10,  0.16, *-----              |                   ,  0.00,  2.66
 0, st:0.25_m:0_rows:1080_x5_how:k3,  0.11,  0.16, *----               |                   ,  0.00,  2.11
 0, st:0.5_m:50_rows:1080_x5_how:k2,  0.11,  0.23,  *-----             |                   ,  0.00,  3.77
 0, st:0.5_m:0_rows:1080_x5_how:k3,  0.12,  0.18,  *----              |                   ,  0.00,  3.61
 0, st:0.25_m:0_rows:1080_x5_how:k5,  0.12,  0.18,  *----              |                   ,  0.00,  3.71
 0, st:0.5_m:0_rows:1080_x5_how:k5,  0.13,  0.20,  *-----             |                   ,  0.00,  3.70
 0, st:0.25_m:100_rows:1080_x5_how:k5,  0.13,  0.24,  *----              |                   ,  0.00,  3.82
 0, st:0.25_m:50_rows:1080_x5_how:k2,  0.13,  0.22,  *------            |                   ,  0.00,  2.74
 0, st:0.5_m:100_rows:1080_x5_how:k3,  0.15,  0.26,  * ----             |                   ,  0.00,  3.17
 0, st:0.5_m:100_rows:1080_x5_how:k5,  0.16,  0.26,  * -----            |                   ,  0.00,  3.83
 0, st:0.5_m:50_rows:1080_x5_how:k3,  0.17,  0.30,  * -----            |                   ,  0.00,  4.43
 0, st:0.25_m:50_rows:1080_x5_how:k3,  0.18,  0.31,  * ------           |                   ,  0.00,  2.26
 0, st:0.25_m:50_rows:1080_x5_how:k5,  0.19,  0.34,  * -----            |                   ,  0.00,  3.12
 0, st:0.5_m:50_rows:1080_x5_how:k5,  0.19,  0.30,  * ------           |                   ,  0.00,  3.93
 0, st:0.25_m:100_rows:1080_x5_how:avearge,  0.29,  0.43, - * -----           |                   ,  0.00,  3.06
 0, st:0.25_m:0_rows:1080_x5_how:avearge,  0.31,  0.45, - *  -----          |                   ,  0.00,  2.79
#
 1, st:0.5_m:0_rows:1080_x5_how:avearge,  0.40,  0.47, -  *  ----          |                   ,  0.00,  2.71
 1, st:0.25_m:50_rows:1080_x5_how:avearge,  0.45,  0.42, --  * ----          |                   ,  0.00,  2.56
 1, st:0.5_m:100_rows:1080_x5_how:avearge,  0.46,  0.52, --  * ----          |                   ,  0.00,  3.11
 1, st:0.5_m:50_rows:1080_x5_how:avearge,  0.55,  0.60, --  *  ------       |                   ,  0.00,  2.95
