		 data/config/SS-J.csv 		
#
 0, st:0.5_m:0_rows:3840_x6_how:k3,  0.03,  0.17, *---                |                   ,  0.00,  3.59
 0, st:0.5_m:0_rows:3840_x6_how:k2,  0.03,  0.21, *----               |                   ,  0.00,  3.26
 0, st:0.25_m:100_rows:3840_x6_how:k2,  0.03,  0.22, *------             |                   ,  0.00,  4.39
 0, st:0.25_m:0_rows:3840_x6_how:k2,  0.03,  0.22, *----               |                   ,  0.00,  3.98
 0, st:0.5_m:100_rows:3840_x6_how:k3,  0.04,  0.20, *-------            |                   ,  0.00,  4.90
 0, st:0.5_m:100_rows:3840_x6_how:k2,  0.05,  0.23, *------             |                   ,  0.00,  4.21
 0, st:0.25_m:0_rows:3840_x6_how:k3,  0.05,  0.22, *----               |                   ,  0.00,  4.37
 0, st:0.5_m:50_rows:3840_x6_how:k2,  0.06,  0.27, * ------            |                   ,  0.00,  4.88
 0, st:0.5_m:50_rows:3840_x6_how:k3,  0.06,  0.27, * -------           |                   ,  0.00,  4.44
 0, st:0.25_m:0_rows:3840_x6_how:k5,  0.06,  0.25, * ----              |                   ,  0.00,  3.59
 0, st:0.5_m:0_rows:3840_x6_how:k5,  0.06,  0.22, *-----              |                   ,  0.00,  3.98
 0, st:0.5_m:100_rows:3840_x6_how:k5,  0.07,  0.27, * --------          |                   ,  0.00,  4.61
 0, st:0.25_m:50_rows:3840_x6_how:k2,  0.07,  0.33, * -------           |                   ,  0.00,  4.96
 0, st:0.25_m:50_rows:3840_x6_how:k3,  0.07,  0.23, *-------            |                   ,  0.00,  4.68
 0, st:0.25_m:100_rows:3840_x6_how:k3,  0.07,  0.26, * -----             |                   ,  0.00,  4.73
 0, st:0.25_m:100_rows:3840_x6_how:k5,  0.09,  0.27, * ------            |                   ,  0.00,  4.91
 0, st:0.25_m:50_rows:3840_x6_how:k5,  0.09,  0.29, * -------           |                   ,  0.00,  3.62
 0, st:0.5_m:50_rows:3840_x6_how:k5,  0.10,  0.31, * --------          |                   ,  0.00,  4.46
 0, st:0.25_m:0_rows:3840_x6_how:avearge,  0.15,  0.42,  * -------          |                   ,  0.00,  4.65
#
 1, st:0.25_m:100_rows:3840_x6_how:avearge,  0.25,  0.53,   * ------          |                   ,  0.00,  4.23
 1, st:0.25_m:50_rows:3840_x6_how:avearge,  0.28,  0.56,   *  ------         |                   ,  0.00,  4.93
 1, st:0.5_m:50_rows:3840_x6_how:avearge,  0.33,  0.41, - * ------          |                   ,  0.00,  4.67
 1, st:0.5_m:0_rows:3840_x6_how:avearge,  0.35,  0.40, - * -----           |                   ,  0.00,  4.51
 1, st:0.5_m:100_rows:3840_x6_how:avearge,  0.36,  0.39, - * ------          |                   ,  0.00,  4.47
