		 data/config/SS-K.csv 		
#
 0, st:0.25_m:0_rows:2880_x6_how:k2,  0.05,  0.30, * ------            |                   ,  0.00,  2.53
 0, st:0.25_m:0_rows:2880_x6_how:k3,  0.06,  0.31, * ------            |                   ,  0.00,  3.18
 0, st:0.5_m:0_rows:2880_x6_how:k3,  0.07,  0.31, * -------           |                   ,  0.00,  2.60
 0, st:0.5_m:0_rows:2880_x6_how:k2,  0.08,  0.31, * ------            |                   ,  0.00,  2.62
 0, st:0.5_m:100_rows:2880_x6_how:k3,  0.09,  0.36, *  ------           |                   ,  0.00,  2.65
 0, st:0.25_m:0_rows:2880_x6_how:k5,  0.09,  0.31, * -------           |                   ,  0.00,  3.95
 0, st:0.25_m:100_rows:2880_x6_how:k2,  0.10,  0.33, *  --------         |                   ,  0.00,  2.42
 0, st:0.25_m:100_rows:2880_x6_how:k5,  0.10,  0.37, *  -------          |                   ,  0.00,  2.95
 0, st:0.25_m:100_rows:2880_x6_how:k3,  0.10,  0.35, *  -------          |                   ,  0.00,  2.62
 0, st:0.5_m:100_rows:2880_x6_how:k5,  0.10,  0.41, *  --------         |                   ,  0.00,  3.50
 0, st:0.5_m:100_rows:2880_x6_how:k2,  0.11,  0.40, *  --------         |                   ,  0.00,  3.47
 0, st:0.5_m:50_rows:2880_x6_how:k2,  0.11,  0.46, *   ------          |                   ,  0.00,  4.02
 0, st:0.5_m:0_rows:2880_x6_how:k5,  0.11,  0.39, *  ------           |                   ,  0.00,  3.55
 0, st:0.25_m:50_rows:2880_x6_how:k3,  0.14,  0.54,  *   -------        |                   ,  0.00,  3.34
 0, st:0.5_m:50_rows:2880_x6_how:k3,  0.14,  0.49,  *  -------         |                   ,  0.00,  3.67
 0, st:0.25_m:50_rows:2880_x6_how:k2,  0.15,  0.50,  *  --------        |                   ,  0.00,  3.55
 0, st:0.25_m:50_rows:2880_x6_how:k5,  0.15,  0.44,  *  ------          |                   ,  0.00,  3.82
 0, st:0.5_m:50_rows:2880_x6_how:k5,  0.15,  0.57,  *   ------         |                   ,  0.00,  3.81
#
 1, st:0.25_m:0_rows:2880_x6_how:avearge,  0.24,  0.61,   *  ----           |                   ,  0.00,  3.31
 1, st:0.25_m:50_rows:2880_x6_how:avearge,  0.25,  0.63,   *   -----         |                   ,  0.00,  4.33
 1, st:0.25_m:100_rows:2880_x6_how:avearge,  0.27,  0.57,   *  ------         |                   ,  0.00,  3.80
 1, st:0.5_m:0_rows:2880_x6_how:avearge,  0.35,  0.66,    *  -------       |                   ,  0.00,  3.71
 1, st:0.5_m:100_rows:2880_x6_how:avearge,  0.35,  0.68, -  *   -------      |                   ,  0.00,  4.19
 1, st:0.5_m:50_rows:2880_x6_how:avearge,  0.35,  0.69,    *   ------       |                   ,  0.00,  4.37
