		 data/config/SS-L.csv 		
#
 0, st:0.5_m:0_rows:1023_x11_how:k2,  0.12,  0.31,  *  -----           |                   ,  0.00,  2.26
 0, st:0.25_m:0_rows:1023_x11_how:k2,  0.12,  0.30,  *  -------         |                   ,  0.00,  3.51
 0, st:0.25_m:0_rows:1023_x11_how:k3,  0.12,  0.30,  *  ------          |                   ,  0.00,  2.90
 0, st:0.5_m:0_rows:1023_x11_how:k3,  0.12,  0.20,  * ---              |                   ,  0.00,  2.37
 0, st:0.5_m:0_rows:1023_x11_how:k5,  0.13,  0.21,  * -----            |                   ,  0.00,  2.64
 0, st:0.25_m:0_rows:1023_x11_how:k5,  0.13,  0.32,  *  ---------       |                   ,  0.00,  2.65
 0, st:0.5_m:50_rows:1023_x11_how:k3,  0.15,  0.34,  *  -----           |                   ,  0.00,  3.14
 0, st:0.25_m:100_rows:1023_x11_how:k2,  0.16,  0.44,  *   ---------      |                   ,  0.00,  2.64
 0, st:0.25_m:100_rows:1023_x11_how:k3,  0.16,  0.44, -*    ----------    |                   ,  0.00,  2.98
 0, st:0.25_m:50_rows:1023_x11_how:k2,  0.16,  0.40,  *   ---------      |                   ,  0.00,  2.87
 0, st:0.5_m:100_rows:1023_x11_how:k2,  0.16,  0.46,  *    -----         |                   ,  0.00,  2.26
 0, st:0.5_m:100_rows:1023_x11_how:k3,  0.16,  0.35, -*   ------         |                   ,  0.00,  2.43
 0, st:0.5_m:100_rows:1023_x11_how:k5,  0.16,  0.34, -*  -----           |                   ,  0.00,  2.59
 0, st:0.25_m:100_rows:1023_x11_how:k5,  0.19,  0.48, - *   --------      |                   ,  0.00,  3.16
 0, st:0.5_m:50_rows:1023_x11_how:k5,  0.21,  0.32, - * -----           |                   ,  0.00,  2.08
 0, st:0.5_m:50_rows:1023_x11_how:k2,  0.21,  0.40,   *  -------        |                   ,  0.00,  2.59
#
 1, st:0.25_m:50_rows:1023_x11_how:k5,  0.32,  0.55, -  *   -------      |                   ,  0.00,  2.56
 1, st:0.25_m:50_rows:1023_x11_how:k3,  0.39,  0.69, -   *    -------    |                   ,  0.00,  2.70
 1, st:0.25_m:100_rows:1023_x11_how:avearge,  0.50,  0.71, --   *    -------   |                   ,  0.00,  2.59
#
 2, st:0.25_m:50_rows:1023_x11_how:avearge,  0.58,  0.65, ---   *   --------- |                   ,  0.00,  2.86
 2, st:0.25_m:0_rows:1023_x11_how:avearge,  0.59,  0.56,  --   *   ------    |                   ,  0.00,  2.54
 2, st:0.5_m:50_rows:1023_x11_how:avearge,  0.72,  0.55,  ----   *  -------  |                   ,  0.00,  2.66
 2, st:0.5_m:100_rows:1023_x11_how:avearge,  0.74,  0.64,  ---    *  ------   |                   ,  0.01,  2.83
 2, st:0.5_m:0_rows:1023_x11_how:avearge,  0.76,  0.66,  ---    *   -----   |                   ,  0.01,  2.01
