		 data/config/SS-M.csv 		
#
 0, st:0.5_m:100_rows:864_x17_how:k3,  0.01,  0.03, *-                  |                   ,  0.00,  1.65
 0, st:0.5_m:0_rows:864_x17_how:k2,  0.01,  0.02, *-                  |                   ,  0.00,  1.23
 0, st:0.5_m:0_rows:864_x17_how:k3,  0.01,  0.04, *--                 |                   ,  0.00,  1.51
 0, st:0.5_m:100_rows:864_x17_how:k2,  0.01,  0.03, *--                 |                   ,  0.00,  2.49
 0, st:0.5_m:50_rows:864_x17_how:k2,  0.01,  0.05, *--                 |                   ,  0.00,  1.35
 0, st:0.25_m:100_rows:864_x17_how:k2,  0.02,  0.04, *--------           |                   ,  0.00,  2.83
 0, st:0.5_m:100_rows:864_x17_how:k5,  0.02,  0.05, *---                |                   ,  0.00,  1.14
 0, st:0.25_m:50_rows:864_x17_how:k2,  0.02,  0.06, *----               |                   ,  0.00,  2.49
 0, st:0.25_m:0_rows:864_x17_how:k2,  0.02,  0.05, *---                |                   ,  0.00,  2.46
 0, st:0.5_m:50_rows:864_x17_how:k3,  0.02,  0.06, *----               |                   ,  0.00,  2.28
 0, st:0.5_m:0_rows:864_x17_how:k5,  0.02,  0.06, *---                |                   ,  0.00,  1.63
 0, st:0.25_m:50_rows:864_x17_how:k3,  0.02,  0.08, *------             |                   ,  0.00,  2.84
 0, st:0.25_m:0_rows:864_x17_how:k3,  0.02,  0.05, *---                |                   ,  0.00,  2.51
 0, st:0.25_m:100_rows:864_x17_how:k3,  0.02,  0.06, *-----              |                   ,  0.00,  2.82
 0, st:0.25_m:100_rows:864_x17_how:k5,  0.02,  0.06, *----               |                   ,  0.00,  2.63
 0, st:0.5_m:50_rows:864_x17_how:k5,  0.02,  0.08, *---                |                   ,  0.00,  2.71
 0, st:0.25_m:0_rows:864_x17_how:k5,  0.03,  0.09, *-----              |                   ,  0.00,  2.71
 0, st:0.25_m:50_rows:864_x17_how:k5,  0.03,  0.16, * ------            |                   ,  0.00,  2.49
#
 1, st:0.25_m:100_rows:864_x17_how:avearge,  0.08,  0.25,  * ----------       |                   ,  0.00,  2.82
 1, st:0.25_m:0_rows:864_x17_how:avearge,  0.11,  0.29,  *  ----------      |                   ,  0.00,  2.46
#
 2, st:0.25_m:50_rows:864_x17_how:avearge,  0.31,  0.50,     *  -------------|-                  ,  0.00,  2.46
#
 3, st:0.5_m:50_rows:864_x17_how:avearge,  0.47,  0.30,    -  *  -----------|--                 ,  0.00,  2.34
 3, st:0.5_m:100_rows:864_x17_how:avearge,  0.52,  0.45, -----  *   ---------|----               ,  0.00,  2.46
#
 4, st:0.5_m:0_rows:864_x17_how:avearge,  0.87,  0.30,      ----   * ----  |                   ,  0.01,  2.02
