		 data/config/SS-O.csv 		
#
 0, st:0.25_m:0_rows:972_x11_how:k2,  0.21,  0.45,  *  ------          |                   ,  0.00,  4.72
 0, st:0.5_m:0_rows:972_x11_how:k5,  0.24,  0.44,  *  ------          |                   ,  0.00,  4.01
 0, st:0.25_m:0_rows:972_x11_how:k5,  0.25,  0.43,  *  -----           |                   ,  0.00,  4.00
 0, st:0.5_m:100_rows:972_x11_how:k3,  0.25,  0.45,  *  ------          |                   ,  0.00,  3.61
 0, st:0.25_m:0_rows:972_x11_how:k3,  0.25,  0.52,  *  ------          |                   ,  0.00,  4.58
 0, st:0.5_m:0_rows:972_x11_how:k2,  0.27,  0.47,   * -----           |                   ,  0.00,  3.47
 0, st:0.5_m:0_rows:972_x11_how:k3,  0.27,  0.47,   * ------          |                   ,  0.00,  3.58
 0, st:0.5_m:100_rows:972_x11_how:k2,  0.27,  0.51,   * -------         |                   ,  0.00,  4.18
 0, st:0.5_m:100_rows:972_x11_how:k5,  0.29,  0.54,   *  ------         |                   ,  0.00,  3.27
 0, st:0.25_m:50_rows:972_x11_how:k2,  0.29,  0.62,   *  -------        |                   ,  0.00,  4.68
 0, st:0.5_m:50_rows:972_x11_how:k2,  0.31,  0.57,   *  -----          |                   ,  0.00,  4.15
 0, st:0.25_m:100_rows:972_x11_how:k3,  0.31,  0.54,   *  -----          |                   ,  0.00,  3.87
 0, st:0.25_m:50_rows:972_x11_how:k3,  0.32,  0.55,   *  ------         |                   ,  0.00,  3.33
 0, st:0.25_m:50_rows:972_x11_how:k5,  0.32,  0.51, - *  ------         |                   ,  0.00,  4.76
 0, st:0.25_m:100_rows:972_x11_how:k2,  0.33,  0.56,   *  ------         |                   ,  0.00,  5.24
 0, st:0.5_m:50_rows:972_x11_how:k3,  0.33,  0.54, - *  ------         |                   ,  0.00,  3.69
 0, st:0.5_m:50_rows:972_x11_how:k5,  0.34,  0.49, - * ------          |                   ,  0.00,  4.81
 0, st:0.25_m:100_rows:972_x11_how:k5,  0.34,  0.56, - *  ------         |                   ,  0.00,  3.99
 0, st:0.25_m:50_rows:972_x11_how:avearge,  0.37,  0.58, - *  -------        |                   ,  0.00,  3.67
 0, st:0.25_m:0_rows:972_x11_how:avearge,  0.39,  0.54, - *  ----           |                   ,  0.00,  3.15
 0, st:0.25_m:100_rows:972_x11_how:avearge,  0.41,  0.56, -  * ------         |                   ,  0.00,  3.35
 0, st:0.5_m:100_rows:972_x11_how:avearge,  0.61,  0.52, --  * -----         |                   ,  0.00,  2.89
 0, st:0.5_m:50_rows:972_x11_how:avearge,  0.66,  0.52, ---  *----          |                   ,  0.00,  3.09
 0, st:0.5_m:0_rows:972_x11_how:avearge,  0.77,  0.52,  --  * -----        |                   ,  0.01,  3.33
