		 data/config/SS-Q.csv 		
#
 0, st:0.25_m:0_rows:2736_x13_how:k2,  0.12,  0.24,  * -----            |                   ,  0.00,  2.55
 0, st:0.5_m:0_rows:2736_x13_how:k5,  0.12,  0.22,  * -----            |                   ,  0.00,  1.97
 0, st:0.25_m:0_rows:2736_x13_how:k3,  0.12,  0.29,  * -----            |                   ,  0.00,  2.59
 0, st:0.25_m:100_rows:2736_x13_how:k2,  0.12,  0.32,  *  ----            |                   ,  0.00,  1.57
 0, st:0.5_m:0_rows:2736_x13_how:k3,  0.13,  0.25,  * ----             |                   ,  0.00,  2.51
 0, st:0.25_m:100_rows:2736_x13_how:k3,  0.14,  0.28,  * -------          |                   ,  0.00,  3.37
 0, st:0.5_m:100_rows:2736_x13_how:k2,  0.15,  0.33,  *  -------         |                   ,  0.00,  1.88
 0, st:0.5_m:0_rows:2736_x13_how:k2,  0.15,  0.35,  *  ----            |                   ,  0.00,  1.62
 0, st:0.25_m:0_rows:2736_x13_how:k5,  0.15,  0.31,  *  -----           |                   ,  0.00,  2.50
 0, st:0.5_m:50_rows:2736_x13_how:k2,  0.16,  0.36,  *  -------         |                   ,  0.00,  2.57
 0, st:0.5_m:50_rows:2736_x13_how:k3,  0.16,  0.29,  *  -----           |                   ,  0.00,  1.86
 0, st:0.25_m:50_rows:2736_x13_how:k2,  0.17,  0.36,  *   ------         |                   ,  0.00,  2.89
 0, st:0.25_m:100_rows:2736_x13_how:k5,  0.17,  0.34,  *  -------         |                   ,  0.00,  2.16
 0, st:0.5_m:100_rows:2736_x13_how:k3,  0.17,  0.33,  *  -------         |                   ,  0.00,  1.86
 0, st:0.5_m:100_rows:2736_x13_how:k5,  0.18,  0.32,   * -----           |                   ,  0.00,  2.00
 0, st:0.5_m:50_rows:2736_x13_how:k5,  0.18,  0.35,   *  -----          |                   ,  0.00,  1.76
 0, st:0.25_m:50_rows:2736_x13_how:k3,  0.20,  0.40,   *  --------       |                   ,  0.00,  3.26
#
 1, st:0.25_m:50_rows:2736_x13_how:k5,  0.24,  0.43,   *   ------        |                   ,  0.00,  2.35
 1, st:0.25_m:0_rows:2736_x13_how:avearge,  0.24,  0.45,   *   ------        |                   ,  0.00,  2.72
 1, st:0.25_m:100_rows:2736_x13_how:avearge,  0.24,  0.50, - *    -------      |                   ,  0.00,  2.59
 1, st:0.25_m:50_rows:2736_x13_how:avearge,  0.31,  0.53, -  *   ---------    |                   ,  0.00,  3.24
 1, st:0.5_m:100_rows:2736_x13_how:avearge,  0.31,  0.59, -  *    --------    |                   ,  0.00,  2.62
 1, st:0.5_m:0_rows:2736_x13_how:avearge,  0.37,  0.70, -   *    ------     |                   ,  0.00,  2.60
 1, st:0.5_m:50_rows:2736_x13_how:avearge,  0.42,  0.74, --  *     -------   |                   ,  0.00,  2.75
