		 data/config/SS-R.csv 		
#
 0, st:0.5_m:0_rows:3008_x14_how:k2,  0.04,  0.14, * ------------------|                   ,  0.00,  2.29
 0, st:0.5_m:100_rows:3008_x14_how:k3,  0.05,  0.14, * --------          |                   ,  0.00,  2.26
 0, st:0.5_m:0_rows:3008_x14_how:k3,  0.05,  0.24, *  ---------------  |                   ,  0.00,  2.10
 0, st:0.5_m:100_rows:3008_x14_how:k2,  0.05,  0.23, *  --------------   |                   ,  0.00,  2.31
 0, st:0.25_m:0_rows:3008_x14_how:k2,  0.05,  0.28, *   --------------  |                   ,  0.00,  2.41
 0, st:0.25_m:0_rows:3008_x14_how:k3,  0.05,  0.26, *   --------------  |                   ,  0.00,  2.17
 0, st:0.5_m:50_rows:3008_x14_how:k2,  0.06,  0.18, * ------------      |                   ,  0.00,  2.36
 0, st:0.25_m:100_rows:3008_x14_how:k2,  0.06,  0.21, *  ---------------  |                   ,  0.00,  2.60
 0, st:0.25_m:50_rows:3008_x14_how:k2,  0.07,  0.33,  *   ---------------|-                  ,  0.00,  2.71
 0, st:0.5_m:100_rows:3008_x14_how:k5,  0.07,  0.23,  * -----------      |                   ,  0.00,  2.34
 0, st:0.5_m:0_rows:3008_x14_how:k5,  0.08,  0.31,  *  ------------    |                   ,  0.00,  2.22
 0, st:0.25_m:0_rows:3008_x14_how:k5,  0.08,  0.34,  *   ----------     |                   ,  0.00,  2.17
 0, st:0.25_m:100_rows:3008_x14_how:k3,  0.08,  0.34,  *   ----------     |                   ,  0.00,  2.37
 0, st:0.5_m:50_rows:3008_x14_how:k3,  0.09,  0.29,  *  -----------     |                   ,  0.00,  2.43
 0, st:0.25_m:50_rows:3008_x14_how:k3,  0.10,  0.33,  *   ---------------|                   ,  0.00,  2.18
 0, st:0.25_m:100_rows:3008_x14_how:k5,  0.11,  0.30,  *  ------------    |                   ,  0.00,  2.36
 0, st:0.5_m:50_rows:3008_x14_how:k5,  0.12,  0.35,  *   ----------     |                   ,  0.00,  2.27
 0, st:0.25_m:50_rows:3008_x14_how:k5,  0.17,  0.35,   *  -----------    |                   ,  0.00,  2.34
#
 1, st:0.25_m:0_rows:3008_x14_how:avearge,  0.34,  0.50, -    *   ---------  |                   ,  0.00,  2.43
 1, st:0.25_m:50_rows:3008_x14_how:avearge,  0.37,  0.67, -    *     ---------|                   ,  0.00,  2.49
 1, st:0.25_m:100_rows:3008_x14_how:avearge,  0.40,  0.58, --   *     -------- |                   ,  0.00,  2.30
#
 2, st:0.5_m:0_rows:3008_x14_how:avearge,  0.59,  0.55,   --    *   ------  |                   ,  0.00,  2.59
 2, st:0.5_m:100_rows:3008_x14_how:avearge,  0.60,  0.53,  ---    *   --------|                   ,  0.00,  2.34
 2, st:0.5_m:50_rows:3008_x14_how:avearge,  0.64,  0.68,  ---     *    ------|----               ,  0.01,  2.31
