		 data/config/SS-T.csv 		
#
 0, st:0.5_m:0_rows:5184_x12_how:k3,  0.01,  0.06, *                   |                   ,  0.00,  2.71
 0, st:0.25_m:0_rows:5184_x12_how:k2,  0.02,  0.05, *-                  |                   ,  0.00,  3.82
 0, st:0.5_m:0_rows:5184_x12_how:k2,  0.02,  0.05, *                   |                   ,  0.00,  3.28
 0, st:0.5_m:0_rows:5184_x12_how:k5,  0.02,  0.08, *-                  |                   ,  0.00,  3.25
 0, st:0.5_m:100_rows:5184_x12_how:k2,  0.02,  0.08, *-                  |                   ,  0.00,  3.15
 0, st:0.25_m:0_rows:5184_x12_how:k3,  0.02,  0.07, *-                  |                   ,  0.00,  3.27
 0, st:0.25_m:0_rows:5184_x12_how:k5,  0.02,  0.08, *--                 |                   ,  0.00,  2.71
 0, st:0.5_m:100_rows:5184_x12_how:k3,  0.02,  0.09, *---                |                   ,  0.00,  4.59
 0, st:0.25_m:100_rows:5184_x12_how:k2,  0.02,  0.09, *--                 |                   ,  0.00,  3.89
 0, st:0.25_m:100_rows:5184_x12_how:k3,  0.03,  0.12, *---                |                   ,  0.00,  3.11
 0, st:0.5_m:50_rows:5184_x12_how:k2,  0.04,  0.13, *----               |                   ,  0.00,  3.17
 0, st:0.5_m:100_rows:5184_x12_how:k5,  0.04,  0.15, *---                |                   ,  0.00,  3.76
 0, st:0.25_m:50_rows:5184_x12_how:k2,  0.05,  0.16, *------             |                   ,  0.00,  3.72
 0, st:0.5_m:50_rows:5184_x12_how:k3,  0.05,  0.14, *-----              |                   ,  0.00,  3.47
 0, st:0.25_m:100_rows:5184_x12_how:k5,  0.05,  0.19, *-----              |                   ,  0.00,  3.17
 0, st:0.5_m:50_rows:5184_x12_how:k5,  0.05,  0.18, *-----              |                   ,  0.00,  3.28
 0, st:0.25_m:50_rows:5184_x12_how:k3,  0.05,  0.21, *-----              |                   ,  0.00,  3.91
 0, st:0.25_m:50_rows:5184_x12_how:k5,  0.05,  0.19, *------             |                   ,  0.00,  3.21
 0, st:0.25_m:0_rows:5184_x12_how:avearge,  0.09,  0.28, * -----             |                   ,  0.00,  3.51
 0, st:0.25_m:100_rows:5184_x12_how:avearge,  0.12,  0.43, *  -------          |                   ,  0.00,  4.95
#
 1, st:0.25_m:50_rows:5184_x12_how:avearge,  0.18,  0.45,  * -----            |                   ,  0.00,  4.21
 1, st:0.5_m:0_rows:5184_x12_how:avearge,  0.18,  0.61,  *   -----          |                   ,  0.00,  3.07
 1, st:0.5_m:100_rows:5184_x12_how:avearge,  0.29,  0.70,   *   ---           |                   ,  0.00,  5.11
#
 2, st:0.5_m:50_rows:5184_x12_how:avearge,  0.40,  0.40, -- * ------         |                   ,  0.00,  5.00
