		 data/config/SS-U.csv 		
#
 0, st:0.5_m:0_rows:4608_x21_how:k3,  0.03,  0.04, *-                  |                   ,  0.00,  1.49
 0, st:0.5_m:0_rows:4608_x21_how:k2,  0.03,  0.04, *                   |                   ,  0.00,  2.17
 0, st:0.5_m:0_rows:4608_x21_how:k5,  0.03,  0.05, *-                  |                   ,  0.00,  1.35
 0, st:0.5_m:100_rows:4608_x21_how:k2,  0.03,  0.06, *--                 |                   ,  0.00,  1.62
 0, st:0.25_m:0_rows:4608_x21_how:k2,  0.03,  0.06, *----               |                   ,  0.00,  2.77
 0, st:0.25_m:100_rows:4608_x21_how:k2,  0.04,  0.09, *-------            |                   ,  0.00,  2.75
 0, st:0.5_m:100_rows:4608_x21_how:k3,  0.04,  0.08, *----               |                   ,  0.00,  1.59
 0, st:0.25_m:0_rows:4608_x21_how:k3,  0.04,  0.11, *---------          |                   ,  0.00,  2.87
 0, st:0.25_m:100_rows:4608_x21_how:k3,  0.05,  0.11, *-----              |                   ,  0.00,  2.76
 0, st:0.5_m:50_rows:4608_x21_how:k2,  0.05,  0.12, *-------            |                   ,  0.00,  2.68
 0, st:0.25_m:0_rows:4608_x21_how:k5,  0.05,  0.15, * --------          |                   ,  0.00,  3.30
 0, st:0.25_m:50_rows:4608_x21_how:k2,  0.05,  0.17, * --------          |                   ,  0.00,  2.67
 0, st:0.5_m:100_rows:4608_x21_how:k5,  0.07,  0.14, *----               |                   ,  0.00,  2.20
 0, st:0.25_m:50_rows:4608_x21_how:k3,  0.07,  0.20, * ----------        |                   ,  0.00,  3.06
 0, st:0.25_m:100_rows:4608_x21_how:k5,  0.07,  0.23, *  --------         |                   ,  0.00,  2.84
 0, st:0.5_m:50_rows:4608_x21_how:k3,  0.08,  0.21, * -----             |                   ,  0.00,  3.01
#
 1, st:0.5_m:50_rows:4608_x21_how:k5,  0.13,  0.25,  * -----            |                   ,  0.00,  2.59
 1, st:0.25_m:50_rows:4608_x21_how:k5,  0.13,  0.28,  * ---------        |                   ,  0.00,  2.75
 1, st:0.25_m:0_rows:4608_x21_how:avearge,  0.19,  0.30,   * --------        |                   ,  0.00,  2.71
#
 2, st:0.25_m:100_rows:4608_x21_how:avearge,  0.31,  0.55, -  *    --------    |                   ,  0.00,  2.98
#
 3, st:0.25_m:50_rows:4608_x21_how:avearge,  0.48,  0.58, --   *   --------   |                   ,  0.00,  2.82
 3, st:0.5_m:0_rows:4608_x21_how:avearge,  0.48,  0.57,  --- *     -----    |                   ,  0.01,  3.23
 3, st:0.5_m:100_rows:4608_x21_how:avearge,  0.60,  0.56,   ---  *   -----    |                   ,  0.00,  3.07
#
 4, st:0.5_m:50_rows:4608_x21_how:avearge,  0.73,  0.70,   ---   *     ---   |                   ,  0.00,  2.62
