		 data/config/SS-V.csv 		
#
 0, st:0.5_m:0_rows:6840_x16_how:k2,  0.06,  0.08, *-                  |                   ,  0.00,  1.79
 0, st:0.5_m:0_rows:6840_x16_how:k3,  0.07,  0.08, *-                  |                   ,  0.00,  1.50
 0, st:0.25_m:0_rows:6840_x16_how:k3,  0.07,  0.11, *---                |                   ,  0.00,  2.00
 0, st:0.25_m:0_rows:6840_x16_how:k2,  0.08,  0.09, *--                 |                   ,  0.00,  2.22
 0, st:0.5_m:0_rows:6840_x16_how:k5,  0.09,  0.10, *--                 |                   ,  0.00,  1.57
 0, st:0.25_m:0_rows:6840_x16_how:k5,  0.10,  0.12,  *----              |                   ,  0.00,  1.94
 0, st:0.25_m:100_rows:6840_x16_how:k2,  0.11,  0.22,  * ----------       |                   ,  0.00,  3.29
 0, st:0.5_m:100_rows:6840_x16_how:k2,  0.12,  0.23,  * --------         |                   ,  0.00,  2.45
 0, st:0.5_m:100_rows:6840_x16_how:k3,  0.14,  0.40,  *   -----          |                   ,  0.00,  2.93
 0, st:0.25_m:100_rows:6840_x16_how:k3,  0.15,  0.40,  *   ---------      |                   ,  0.00,  3.48
#
 1, st:0.25_m:100_rows:6840_x16_how:k5,  0.17,  0.32,  *  --------        |                   ,  0.00,  2.80
 1, st:0.25_m:50_rows:6840_x16_how:k2,  0.18,  0.55,   *    -------      |                   ,  0.00,  2.68
 1, st:0.5_m:50_rows:6840_x16_how:k2,  0.18,  0.52,   *   -------       |                   ,  0.00,  2.92
 1, st:0.5_m:100_rows:6840_x16_how:k5,  0.21,  0.34,   * -----           |                   ,  0.00,  2.19
 1, st:0.5_m:50_rows:6840_x16_how:k3,  0.21,  0.43, - *  ------         |                   ,  0.00,  2.79
 1, st:0.25_m:50_rows:6840_x16_how:k3,  0.23,  0.52,   *   -------       |                   ,  0.00,  2.85
 1, st:0.5_m:50_rows:6840_x16_how:k5,  0.25,  0.39, - *  ------         |                   ,  0.00,  2.11
#
 2, st:0.25_m:50_rows:6840_x16_how:k5,  0.35,  0.46, -   * -------       |                   ,  0.00,  2.74
 2, st:0.25_m:0_rows:6840_x16_how:avearge,  0.37,  0.55, --  *   -------     |                   ,  0.00,  2.93
#
 3, st:0.25_m:50_rows:6840_x16_how:avearge,  0.56,  0.64,  ---  *    -------  |                   ,  0.00,  3.27
 3, st:0.25_m:100_rows:6840_x16_how:avearge,  0.56,  0.70, --    *   --------- |                   ,  0.00,  3.12
 3, st:0.5_m:0_rows:6840_x16_how:avearge,  0.63,  0.71,  ---   *    ----    |                   ,  0.00,  2.56
 3, st:0.5_m:100_rows:6840_x16_how:avearge,  0.71,  0.71,  ----   *    ---    |                   ,  0.00,  2.74
 3, st:0.5_m:50_rows:6840_x16_how:avearge,  0.75,  0.59,  ----   *   ------- |                   ,  0.00,  2.73
