		 data/config/SS-W.csv 		
#
 0, st:0.5_m:0_rows:65536_x16_how:k5,  0.29,  0.35, -  * -----          |                   ,  0.00,  2.13
 0, st:0.5_m:0_rows:65536_x16_how:k3,  0.34,  0.40, -  *  -----         |                   ,  0.00,  3.00
 0, st:0.5_m:0_rows:65536_x16_how:k2,  0.36,  0.41, -  *  ------        |                   ,  0.00,  3.61
 0, st:0.5_m:100_rows:65536_x16_how:k5,  0.40,  0.48, --  *  -----        |                   ,  0.00,  2.64
 0, st:0.25_m:0_rows:65536_x16_how:k2,  0.40,  0.45, --  * -------       |                   ,  0.00,  3.48
 0, st:0.5_m:100_rows:65536_x16_how:k2,  0.43,  0.44, --  *  ------       |                   ,  0.00,  3.29
 0, st:0.25_m:0_rows:65536_x16_how:k3,  0.44,  0.45, --  *  ------       |                   ,  0.00,  3.10
 0, st:0.5_m:50_rows:65536_x16_how:k3,  0.45,  0.53, --  *   ------      |                   ,  0.00,  3.34
 0, st:0.25_m:100_rows:65536_x16_how:k2,  0.46,  0.52, --  *   -------     |                   ,  0.00,  2.89
 0, st:0.5_m:100_rows:65536_x16_how:k3,  0.46,  0.49, --  *  -------      |                   ,  0.00,  3.30
 0, st:0.25_m:0_rows:65536_x16_how:k5,  0.48,  0.48, --  *  ------       |                   ,  0.00,  2.86
 0, st:0.25_m:100_rows:65536_x16_how:k5,  0.48,  0.50, --   *  ------      |                   ,  0.00,  3.60
 0, st:0.5_m:50_rows:65536_x16_how:k5,  0.48,  0.50,  -   * ------       |                   ,  0.00,  2.87
 0, st:0.25_m:100_rows:65536_x16_how:k3,  0.49,  0.50, --   *  -----       |                   ,  0.00,  2.83
 0, st:0.25_m:50_rows:65536_x16_how:k3,  0.50,  0.52, --   *  ------      |                   ,  0.00,  2.80
 0, st:0.25_m:50_rows:65536_x16_how:k5,  0.50,  0.57, --   *  -----       |                   ,  0.00,  2.66
 0, st:0.25_m:50_rows:65536_x16_how:k2,  0.51,  0.55, ---  *  -------     |                   ,  0.00,  3.82
 0, st:0.5_m:50_rows:65536_x16_how:k2,  0.51,  0.56, --   *  -------     |                   ,  0.00,  3.13
 0, st:0.5_m:0_rows:65536_x16_how:avearge,  0.55,  0.62,  --  *   ------     |                   ,  0.00,  2.98
 0, st:0.25_m:0_rows:65536_x16_how:avearge,  0.56,  0.51,  --  *  -------     |                   ,  0.00,  3.45
 0, st:0.25_m:100_rows:65536_x16_how:avearge,  0.62,  0.63, ---   *   -----     |                   ,  0.00,  3.23
 0, st:0.25_m:50_rows:65536_x16_how:avearge,  0.71,  0.63,  ---   *  -------   |                   ,  0.00,  2.74
 0, st:0.5_m:100_rows:65536_x16_how:avearge,  0.73,  0.67,  ---   *   ------   |                   ,  0.00,  3.23
 0, st:0.5_m:50_rows:65536_x16_how:avearge,  0.74,  0.69,  ---   *   ------   |                   ,  0.00,  2.86
