		 data/misc/Wine_quality.csv 		
#
 0, st:0.25_m:0_rows:1599_x10_how:k2,  0.18,  0.62,  *  -----           |                   ,  0.00,  3.71
 0, st:0.5_m:0_rows:1599_x10_how:k5,  0.27,  0.57,   * -----           |                   ,  0.00,  2.93
 0, st:0.5_m:100_rows:1599_x10_how:k2,  0.28,  0.74,   *  ----           |                   ,  0.00,  3.16
 0, st:0.5_m:0_rows:1599_x10_how:k2,  0.28,  0.66,   * -----           |                   ,  0.00,  3.71
 0, st:0.5_m:0_rows:1599_x10_how:k3,  0.30,  0.68,   *  ----           |                   ,  0.00,  2.85
 0, st:0.25_m:0_rows:1599_x10_how:k3,  0.32,  0.65,   * -----           |                   ,  0.00,  3.71
 0, st:0.25_m:0_rows:1599_x10_how:k5,  0.32,  0.58,   * -----           |                   ,  0.00,  3.45
 0, st:0.5_m:100_rows:1599_x10_how:k3,  0.35,  0.72,   *  ----           |                   ,  0.00,  2.97
 0, st:0.25_m:100_rows:1599_x10_how:k2,  0.38,  0.86,   *   ----          |                   ,  0.00,  3.28
 0, st:0.25_m:100_rows:1599_x10_how:k3,  0.38,  0.77,   *   ---           |                   ,  0.00,  5.29
#
 1, st:0.5_m:50_rows:1599_x10_how:k2,  0.43,  0.86,    *   ---          |                   ,  0.00,  3.71
 1, st:0.25_m:100_rows:1599_x10_how:k5,  0.43,  0.72,    *  ---           |                   ,  0.00,  3.47
 1, st:0.5_m:100_rows:1599_x10_how:k5,  0.44,  0.61, -  * ----           |                   ,  0.00,  3.64
 1, st:0.25_m:50_rows:1599_x10_how:k5,  0.46,  0.62, -  *  ----          |                   ,  0.00,  3.90
 1, st:0.5_m:50_rows:1599_x10_how:k3,  0.47,  0.66, -  *  ----          |                   ,  0.00,  5.24
 1, st:0.25_m:50_rows:1599_x10_how:k3,  0.48,  0.64, -  *  ---           |                   ,  0.00,  4.18
 1, st:0.5_m:50_rows:1599_x10_how:k5,  0.50,  0.59, -  * -----          |                   ,  0.00,  4.39
 1, st:0.25_m:0_rows:1599_x10_how:avearge,  0.53,  0.44, --  *-----          |                   ,  0.00,  3.54
 1, st:0.25_m:100_rows:1599_x10_how:avearge,  0.56,  0.60, --  * -----         |                   ,  0.00,  3.63
 1, st:0.25_m:50_rows:1599_x10_how:k2,  0.57,  0.77, -   *  -----        |                   ,  0.00,  3.71
 1, st:0.5_m:50_rows:1599_x10_how:avearge,  0.59,  0.46, --- * -----         |                   ,  0.00,  3.35
 1, st:0.25_m:50_rows:1599_x10_how:avearge,  0.62,  0.57, --  *  ----         |                   ,  0.00,  4.54
 1, st:0.5_m:100_rows:1599_x10_how:avearge,  0.63,  0.46,  -- * -----         |                   ,  0.01,  3.27
 1, st:0.5_m:0_rows:1599_x10_how:avearge,  0.63,  0.46,  -- * ----          |                   ,  0.00,  2.96
