		 data/config/X264_AllMeasurements.csv 		
#
 0, st:0.5_m:0_rows:1152_x16_how:k5,  0.09,  0.14,  *--                |                   ,  0.00,  1.03
 0, st:0.5_m:100_rows:1152_x16_how:k2,  0.10,  0.17,  *---               |                   ,  0.00,  1.69
 0, st:0.5_m:0_rows:1152_x16_how:k3,  0.10,  0.13,  *--                |                   ,  0.00,  1.20
 0, st:0.5_m:0_rows:1152_x16_how:k2,  0.10,  0.17,  *---               |                   ,  0.00,  1.05
 0, st:0.5_m:50_rows:1152_x16_how:k3,  0.11,  0.17,  *----              |                   ,  0.00,  1.48
 0, st:0.5_m:100_rows:1152_x16_how:k5,  0.12,  0.16,  *---               |                   ,  0.00,  2.51
 0, st:0.25_m:0_rows:1152_x16_how:k3,  0.12,  0.20,  * -----            |                   ,  0.00,  2.56
 0, st:0.5_m:100_rows:1152_x16_how:k3,  0.12,  0.16,  *---               |                   ,  0.00,  2.29
 0, st:0.5_m:50_rows:1152_x16_how:k2,  0.14,  0.22,  * ---              |                   ,  0.00,  2.50
 0, st:0.25_m:0_rows:1152_x16_how:k5,  0.14,  0.20,  * ---              |                   ,  0.00,  2.44
 0, st:0.25_m:50_rows:1152_x16_how:k3,  0.14,  0.22,  * ----             |                   ,  0.00,  3.12
 0, st:0.5_m:50_rows:1152_x16_how:k5,  0.14,  0.20,  * --               |                   ,  0.00,  1.92
 0, st:0.25_m:0_rows:1152_x16_how:k2,  0.14,  0.20,  * ----             |                   ,  0.00,  2.17
 0, st:0.25_m:50_rows:1152_x16_how:k2,  0.15,  0.25,  * ------           |                   ,  0.00,  3.19
 0, st:0.25_m:100_rows:1152_x16_how:k3,  0.15,  0.28,  *  -----           |                   ,  0.00,  3.15
 0, st:0.25_m:100_rows:1152_x16_how:k2,  0.15,  0.25,  * -----            |                   ,  0.00,  3.12
 0, st:0.25_m:100_rows:1152_x16_how:k5,  0.17,  0.25,   * -----           |                   ,  0.00,  2.79
 0, st:0.25_m:50_rows:1152_x16_how:k5,  0.18,  0.27,   * ----            |                   ,  0.00,  3.03
 0, st:0.25_m:0_rows:1152_x16_how:avearge,  0.24,  0.34, -  * -------        |                   ,  0.00,  3.05
 0, st:0.25_m:100_rows:1152_x16_how:avearge,  0.25,  0.37, -  *  ------        |                   ,  0.00,  2.94
 0, st:0.25_m:50_rows:1152_x16_how:avearge,  0.32,  0.50, -   *   ------      |                   ,  0.00,  2.90
#
 1, st:0.5_m:100_rows:1152_x16_how:avearge,  0.79,  0.80,  ---     *    ----  |                   ,  0.00,  2.19
 1, st:0.5_m:0_rows:1152_x16_how:avearge,  0.86,  0.65,   ---     *  -----  |                   ,  0.00,  2.29
 1, st:0.5_m:50_rows:1152_x16_how:avearge,  0.88,  0.71,  ----      *  ----  |                   ,  0.00,  2.33
