		 data/misc/auto93.csv 		
#
 0, st:0.5_m:50_rows:398_x4_how:k3,  0.25,  0.46,   *  -------        |                   ,  0.00,  2.81
 0, st:0.5_m:0_rows:398_x4_how:k5,  0.25,  0.45,   *  -------        |                   ,  0.00,  3.38
 0, st:0.25_m:100_rows:398_x4_how:k2,  0.25,  0.54,   *   ------        |                   ,  0.00,  3.77
 0, st:0.5_m:100_rows:398_x4_how:k2,  0.26,  0.52,   *   ------        |                   ,  0.00,  3.30
 0, st:0.5_m:50_rows:398_x4_how:k5,  0.29,  0.49, -  *  ------        |                   ,  0.00,  3.03
 0, st:0.25_m:50_rows:398_x4_how:k2,  0.29,  0.55,    *  ------        |                   ,  0.00,  3.37
 0, st:0.25_m:50_rows:398_x4_how:k5,  0.29,  0.53,    *  ------        |                   ,  0.00,  3.33
 0, st:0.5_m:50_rows:398_x4_how:k2,  0.29,  0.55,    *  ------        |                   ,  0.00,  3.52
 0, st:0.5_m:0_rows:398_x4_how:k2,  0.29,  0.50,    *  ------        |                   ,  0.00,  3.36
 0, st:0.25_m:50_rows:398_x4_how:k3,  0.30,  0.58,    *  ------        |                   ,  0.00,  2.48
 0, st:0.25_m:100_rows:398_x4_how:k5,  0.31,  0.58, -  *   -----        |                   ,  0.00,  2.84
 0, st:0.25_m:0_rows:398_x4_how:k5,  0.31,  0.44, -  * -------        |                   ,  0.00,  3.35
 0, st:0.25_m:0_rows:398_x4_how:k2,  0.31,  0.53, -  *  ------        |                   ,  0.00,  3.43
 0, st:0.5_m:0_rows:398_x4_how:k3,  0.32,  0.48,    *  ------        |                   ,  0.00,  3.33
 0, st:0.5_m:100_rows:398_x4_how:k5,  0.32,  0.58, -  *   -----        |                   ,  0.00,  3.36
 0, st:0.25_m:0_rows:398_x4_how:k3,  0.32,  0.53, -  *  ------        |                   ,  0.00,  2.63
 0, st:0.25_m:100_rows:398_x4_how:k3,  0.33,  0.61, -  *   -----        |                   ,  0.00,  3.37
 0, st:0.25_m:100_rows:398_x4_how:avearge,  0.34,  0.51, -  *  ------        |                   ,  0.00,  2.65
 0, st:0.5_m:100_rows:398_x4_how:k3,  0.36,  0.59, -  *   -----        |                   ,  0.00,  3.36
 0, st:0.25_m:0_rows:398_x4_how:avearge,  0.37,  0.43, -  *  ----          |                   ,  0.00,  3.44
 0, st:0.5_m:100_rows:398_x4_how:avearge,  0.39,  0.45, --  * -----         |                   ,  0.00,  2.72
 0, st:0.5_m:50_rows:398_x4_how:avearge,  0.40,  0.41, --  * -----         |                   ,  0.00,  2.99
 0, st:0.5_m:0_rows:398_x4_how:avearge,  0.41,  0.44, --  *  ----         |                   ,  0.00,  3.29
 0, st:0.25_m:50_rows:398_x4_how:avearge,  0.45,  0.51, --  *  -----        |                   ,  0.00,  3.31
