		 data/process/coc1000.csv 		
#
 0, st:0.5_m:0_rows:1000_x17_how:k5,  0.64,  0.61, --  * ----          |                   ,  0.00,  3.24
 0, st:0.5_m:100_rows:1000_x17_how:k5,  0.66,  0.65, --  * -----         |                   ,  0.00,  3.24
 0, st:0.5_m:100_rows:1000_x17_how:k3,  0.66,  0.75, --  * ------        |                   ,  0.00,  5.79
 0, st:0.25_m:100_rows:1000_x17_how:k5,  0.66,  0.64, --  * -----         |                   ,  0.00,  4.15
 0, st:0.25_m:50_rows:1000_x17_how:k5,  0.67,  0.76, --  *  ---          |                   ,  0.00,  6.42
 0, st:0.5_m:50_rows:1000_x17_how:k5,  0.67,  0.71, --  * ----          |                   ,  0.00,  4.90
 0, st:0.25_m:0_rows:1000_x17_how:k5,  0.71,  0.71, --  * ----          |                   ,  0.00,  3.53
 0, st:0.5_m:0_rows:1000_x17_how:k2,  0.73,  0.83, --  *  -----        |                   ,  0.00,  4.69
 0, st:0.25_m:50_rows:1000_x17_how:k3,  0.73,  0.67, --  * ----          |                   ,  0.00,  5.00
 0, st:0.25_m:0_rows:1000_x17_how:k3,  0.73,  0.75, --  *  ----         |                   ,  0.00,  3.89
 0, st:0.25_m:100_rows:1000_x17_how:k3,  0.74,  0.74, --  * -----         |                   ,  0.00,  4.72
 0, st:0.5_m:50_rows:1000_x17_how:k3,  0.74,  0.73, --  *  -----        |                   ,  0.00,  5.87
 0, st:0.5_m:0_rows:1000_x17_how:k3,  0.74,  0.74, --  *  ----         |                   ,  0.00,  4.94
 0, st:0.25_m:0_rows:1000_x17_how:avearge,  0.76,  0.62, --  * ----          |                   ,  0.00,  4.60
 0, st:0.25_m:100_rows:1000_x17_how:avearge,  0.76,  0.58, --  *-----          |                   ,  0.00,  4.45
 0, st:0.5_m:100_rows:1000_x17_how:avearge,  0.78,  0.61, --  * ----          |                   ,  0.00,  4.13
 0, st:0.5_m:50_rows:1000_x17_how:avearge,  0.78,  0.59, --- * ----          |                   ,  0.01,  6.20
 0, st:0.5_m:0_rows:1000_x17_how:avearge,  0.79,  0.59, --  * ----          |                   ,  0.00,  6.08
 0, st:0.25_m:0_rows:1000_x17_how:k2,  0.81,  0.82, --   * -----        |                   ,  0.00,  3.79
 0, st:0.25_m:50_rows:1000_x17_how:k2,  0.81,  0.77, --   * -----        |                   ,  0.00,  6.01
 0, st:0.5_m:100_rows:1000_x17_how:k2,  0.81,  0.84, --   * -----        |                   ,  0.00,  4.24
 0, st:0.5_m:50_rows:1000_x17_how:k2,  0.81,  0.84, --   * -----        |                   ,  0.00,  3.73
 0, st:0.25_m:100_rows:1000_x17_how:k2,  0.84,  1.00, --   *   -----      |                   ,  0.00,  5.25
 0, st:0.25_m:50_rows:1000_x17_how:avearge,  0.84,  0.52, ---  *---           |                   ,  0.00,  3.81
