		 data/hpo/healthCloseIsses12mths0001-hard.csv 		
#
 0, st:0.25_m:100_rows:10000_x5_how:k2,  0.06,  0.22, *------             |                   ,  0.00,  2.77
 0, st:0.5_m:50_rows:10000_x5_how:k2,  0.06,  0.25, *------             |                   ,  0.00,  2.77
 0, st:0.5_m:0_rows:10000_x5_how:k3,  0.07,  0.25, *------             |                   ,  0.00,  2.77
 0, st:0.25_m:0_rows:10000_x5_how:k2,  0.07,  0.20, *-----              |                   ,  0.00,  3.36
 0, st:0.25_m:0_rows:10000_x5_how:k3,  0.07,  0.25, *------             |                   ,  0.00,  2.77
 0, st:0.5_m:0_rows:10000_x5_how:k2,  0.07,  0.22, *------             |                   ,  0.00,  3.03
 0, st:0.5_m:100_rows:10000_x5_how:k2,  0.08,  0.22, *------             |                   ,  0.00,  2.79
 0, st:0.5_m:100_rows:10000_x5_how:k3,  0.08,  0.29, *------             |                   ,  0.00,  2.82
 0, st:0.25_m:50_rows:10000_x5_how:k5,  0.08,  0.25, *----               |                   ,  0.00,  2.99
 0, st:0.25_m:100_rows:10000_x5_how:k5,  0.09,  0.26, *-----              |                   ,  0.00,  2.77
 0, st:0.5_m:50_rows:10000_x5_how:k5,  0.09,  0.27, *-----              |                   ,  0.00,  2.77
 0, st:0.25_m:50_rows:10000_x5_how:k3,  0.10,  0.28, *-------            |                   ,  0.00,  3.78
 0, st:0.25_m:100_rows:10000_x5_how:k3,  0.11,  0.24, *-------            |                   ,  0.00,  2.77
 0, st:0.25_m:50_rows:10000_x5_how:k2,  0.11,  0.27, *------             |                   ,  0.00,  2.77
 0, st:0.25_m:0_rows:10000_x5_how:k5,  0.11,  0.26, *------             |                   ,  0.00,  2.77
 0, st:0.5_m:100_rows:10000_x5_how:k5,  0.12,  0.26, *------             |                   ,  0.00,  2.77
 0, st:0.5_m:0_rows:10000_x5_how:k5,  0.12,  0.28, *------             |                   ,  0.00,  2.77
 0, st:0.25_m:100_rows:10000_x5_how:avearge,  0.14,  0.32, * ----              |                   ,  0.00,  2.77
 0, st:0.5_m:50_rows:10000_x5_how:k3,  0.14,  0.36, * -----             |                   ,  0.00,  3.18
 0, st:0.25_m:0_rows:10000_x5_how:avearge,  0.14,  0.31, * ----              |                   ,  0.00,  2.77
 0, st:0.5_m:0_rows:10000_x5_how:avearge,  0.16,  0.32, * ---               |                   ,  0.00,  6.56
 0, st:0.5_m:100_rows:10000_x5_how:avearge,  0.16,  0.38, * ----              |                   ,  0.00,  3.56
 0, st:0.25_m:50_rows:10000_x5_how:avearge,  0.17,  0.30,  *----              |                   ,  0.00,  2.77
 0, st:0.5_m:50_rows:10000_x5_how:avearge,  0.21,  0.32,  *-----             |                   ,  0.00,  2.56
