		 data/process/nasa93dem.csv 		
#
 0, st:0.25_m:50_rows:93_x22_how:k5,  0.24,  0.41,  *----              |                   ,  0.00,  8.05
 0, st:0.25_m:50_rows:93_x22_how:avearge,  0.24,  0.37,  *--                |                   ,  0.00,  7.63
 0, st:0.25_m:100_rows:93_x22_how:k5,  0.25,  0.43,  *----              |                   ,  0.00,  8.22
 0, st:0.5_m:0_rows:93_x22_how:k5,  0.26,  0.38,  *---               |                   ,  0.00,  8.14
 0, st:0.5_m:0_rows:93_x22_how:k2,  0.26,  0.47,  *----              |                   ,  0.00,  7.24
 0, st:0.5_m:100_rows:93_x22_how:k5,  0.27,  0.37,  *---               |                   ,  0.00,  8.22
 0, st:0.25_m:0_rows:93_x22_how:k3,  0.27,  0.40,  *---               |                   ,  0.00,  7.44
 0, st:0.25_m:50_rows:93_x22_how:k3,  0.27,  0.44,  *----              |                   ,  0.00,  7.58
 0, st:0.25_m:0_rows:93_x22_how:k2,  0.28,  0.48,  *---               |                   ,  0.00,  7.17
 0, st:0.5_m:100_rows:93_x22_how:k3,  0.28,  0.46,  *----              |                   ,  0.00,  7.50
 0, st:0.25_m:100_rows:93_x22_how:avearge,  0.28,  0.48,  *----              |                   ,  0.00,  7.97
 0, st:0.25_m:50_rows:93_x22_how:k2,  0.28,  0.46,  *----              |                   ,  0.00,  8.09
 0, st:0.25_m:100_rows:93_x22_how:k2,  0.28,  0.48,  *----              |                   ,  0.00,  7.50
 0, st:0.25_m:100_rows:93_x22_how:k3,  0.29,  0.48,  *----              |                   ,  0.00,  6.99
 0, st:0.5_m:50_rows:93_x22_how:k2,  0.29,  0.52,  * ----             |                   ,  0.00,  8.22
 0, st:0.5_m:50_rows:93_x22_how:k5,  0.29,  0.49,  *----              |                   ,  0.00,  7.48
 0, st:0.5_m:0_rows:93_x22_how:k3,  0.30,  0.46,  *---               |                   ,  0.00,  7.91
 0, st:0.5_m:50_rows:93_x22_how:k3,  0.30,  0.43,  *---               |                   ,  0.00,  8.26
 0, st:0.5_m:100_rows:93_x22_how:k2,  0.30,  0.50,  * ----             |                   ,  0.00,  8.13
 0, st:0.5_m:100_rows:93_x22_how:avearge,  0.31,  0.42,  *--                |                   ,  0.00,  7.48
 0, st:0.5_m:50_rows:93_x22_how:avearge,  0.36,  0.43,  *--                |                   ,  0.00,  7.96
 0, st:0.25_m:0_rows:93_x22_how:k5,  0.37,  0.49,  * ---              |                   ,  0.00,  7.26
 0, st:0.5_m:0_rows:93_x22_how:avearge,  0.40,  0.38, -*---               |                   ,  0.00,  7.40
 0, st:0.25_m:0_rows:93_x22_how:avearge,  0.43,  0.45, - *-                |                   ,  0.00,  7.24
