		 data/process/pom3a.csv 		
#
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.51,  0.49,  --   * --------    |                   ,  0.01,  2.54
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.51,  0.65, ---   *    -------  |                   ,  0.00,  2.91
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.52,  0.53,  --   *  -------    |                   ,  0.00,  2.88
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.53,  0.54, ---   *   -------   |                   ,  0.00,  2.91
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.55,  0.61, ---   *   --------  |                   ,  0.00,  2.77
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.56,  0.63, ---   *   ----------|                   ,  0.00,  3.37
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.56,  0.53,  ---  *   ------    |                   ,  0.00,  2.86
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.56,  0.60,  --   *   --------  |                   ,  0.00,  3.38
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.57,  0.61, ---   *   --------- |                   ,  0.00,  3.06
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.59,  0.59,  --   *   -------   |                   ,  0.00,  2.79
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.59,  0.65, ---   *    -------- |                   ,  0.00,  3.11
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.60,  0.60,  --    *  --------- |                   ,  0.00,  3.17
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.61,  0.62,  ---   *   -------- |                   ,  0.00,  3.12
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.62,  0.74,  --    *    --------|                   ,  0.00,  2.93
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.65,  0.63,  ---   *   -------- |                   ,  0.00,  3.09
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.66,  0.69,  ---   *    --------|-                  ,  0.00,  3.08
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.66,  0.62,  ---   *    ------- |                   ,  0.00,  2.89
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.66,  0.67,  ---   *    --------|                   ,  0.00,  3.19
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.68,  0.71,  ---    *   ------- |                   ,  0.00,  2.66
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.73,  0.71,  ---    *    ------ |                   ,  0.00,  2.74
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.73,  0.71,  ---    *    ----   |                   ,  0.00,  2.30
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.76,  0.74,  ---    *    -----  |                   ,  0.00,  2.53
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.76,  0.72,  ----   *    ------ |                   ,  0.02,  2.44
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.76,  0.73,  ---    *   --------|                   ,  0.00,  3.37
