		 data/process/pom3b.csv 		
#
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.29,  0.69,    *   ------       |                   ,  0.00,  2.65
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.31,  0.77,    *   --------     |                   ,  0.00,  2.60
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.31,  0.77,    *   ---------    |                   ,  0.00,  3.07
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.32,  0.79,    *    -------     |                   ,  0.00,  2.61
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.33,  0.85,    *    ------      |                   ,  0.00,  2.20
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.33,  0.81,    *    ---------   |                   ,  0.00,  3.07
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.33,  0.80,    *    -------     |                   ,  0.00,  2.60
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.34,  0.80,    *    ---------   |                   ,  0.00,  3.58
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.34,  0.76,    *   ------       |                   ,  0.00,  2.68
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.34,  0.83,    *    ---------   |                   ,  0.00,  3.69
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.35,  0.82,    *    -------     |                   ,  0.00,  3.05
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.35,  0.80,    *    --------    |                   ,  0.00,  3.05
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.35,  0.83,    *    ------      |                   ,  0.00,  3.33
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.35,  0.90,    *     -------    |                   ,  0.00,  3.23
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.35,  0.81,    *    ----------  |                   ,  0.00,  2.95
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.36,  0.85,    *    ----------  |                   ,  0.00,  3.25
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.37,  0.79,    *    ------      |                   ,  0.00,  2.55
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.38,  0.95,    *     ---------  |                   ,  0.00,  3.92
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.39,  0.83,     *   -------     |                   ,  0.00,  2.73
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.39,  0.85,     *   -------     |                   ,  0.00,  2.78
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.40,  0.90,     *    ---------  |                   ,  0.00,  3.16
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.40,  0.89,     *    ------     |                   ,  0.00,  2.20
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.40,  0.88,     *   -------     |                   ,  0.00,  2.57
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.48,  0.88,     *    -----      |                   ,  0.00,  2.46
