		 data/process/pom3c.csv 		
#
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.53,  0.59, ---  *   ------     |                   ,  0.00,  2.53
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.56,  0.60, ---  *   -------    |                   ,  0.00,  3.43
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.56,  0.66, --   *   -------    |                   ,  0.00,  2.93
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.57,  0.59, ---  *   ------     |                   ,  0.00,  3.10
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.57,  0.63,  --  *   ------     |                   ,  0.00,  3.12
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.60,  0.68, ---   *   ------    |                   ,  0.00,  3.86
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.63,  0.63, ---   *  --------   |                   ,  0.00,  3.40
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.63,  0.74, ---   *   -------   |                   ,  0.00,  3.50
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.64,  0.66,  --   *   ------    |                   ,  0.00,  3.78
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.64,  0.68,  --   *   ------    |                   ,  0.00,  3.42
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.66,  0.65,  --   *  -------    |                   ,  0.00,  2.86
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.67,  0.76, ---   *    ---------|                   ,  0.00,  3.37
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.67,  0.73,  --   *    -------- |                   ,  0.00,  3.91
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.68,  0.69,  ---  *    ------   |                   ,  0.00,  2.69
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.68,  0.69,  ---  *    -----    |                   ,  0.00,  3.04
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.69,  0.68,  --   *   -----     |                   ,  0.00,  2.78
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.69,  0.77,  --   *    -------- |                   ,  0.00,  3.88
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.69,  0.74,  --   *    -------- |                   ,  0.00,  3.43
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.70,  0.74,  --    *   -------  |                   ,  0.00,  3.68
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.70,  0.64,  ---   *  -----     |                   ,  0.00,  2.65
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.71,  0.76,  ---   *   -------- |                   ,  0.00,  3.49
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.74,  0.69,  ---   *   ---      |                   ,  0.00,  2.87
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.76,  0.80,  ---   *    --------|                   ,  0.00,  3.97
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.80,  0.71,  ---    *   ---     |                   ,  0.00,  2.90
