		 data/misc/rs-6d-c3_obj2.csv 		
#
 0, st:0.5_m:0_rows:3840_x6_how:k5,  0.01,  0.04, *-----              |                   ,  0.00,  4.60
 0, st:0.5_m:0_rows:3840_x6_how:k3,  0.01,  0.02, *---                |                   ,  0.00,  4.96
 0, st:0.5_m:100_rows:3840_x6_how:k3,  0.01,  0.03, *-------            |                   ,  0.00,  4.73
 0, st:0.25_m:0_rows:3840_x6_how:k3,  0.01,  0.02, *------             |                   ,  0.00,  4.18
 0, st:0.25_m:0_rows:3840_x6_how:k5,  0.01,  0.02, *----               |                   ,  0.00,  4.95
 0, st:0.5_m:0_rows:3840_x6_how:k2,  0.01,  0.02, *----               |                   ,  0.00,  5.14
 0, st:0.5_m:50_rows:3840_x6_how:k3,  0.01,  0.03, *-------            |                   ,  0.00,  4.69
 0, st:0.25_m:100_rows:3840_x6_how:k3,  0.01,  0.04, *--------           |                   ,  0.00,  4.65
 0, st:0.25_m:0_rows:3840_x6_how:k2,  0.01,  0.02, *----               |                   ,  0.00,  4.54
 0, st:0.25_m:50_rows:3840_x6_how:k3,  0.01,  0.04, *-------            |                   ,  0.00,  5.02
 0, st:0.5_m:100_rows:3840_x6_how:k2,  0.01,  0.02, *-----              |                   ,  0.00,  4.89
 0, st:0.25_m:100_rows:3840_x6_how:k2,  0.01,  0.02, *-------            |                   ,  0.00,  4.33
 0, st:0.5_m:100_rows:3840_x6_how:k5,  0.01,  0.09, *--------           |                   ,  0.00,  4.83
 0, st:0.25_m:100_rows:3840_x6_how:k5,  0.01,  0.09, *-------            |                   ,  0.00,  4.83
 0, st:0.5_m:50_rows:3840_x6_how:k2,  0.01,  0.03, *--------           |                   ,  0.00,  4.88
 0, st:0.25_m:50_rows:3840_x6_how:k2,  0.01,  0.03, *-------            |                   ,  0.00,  5.02
 0, st:0.25_m:50_rows:3840_x6_how:k5,  0.01,  0.15, *---------          |                   ,  0.00,  4.61
 0, st:0.25_m:0_rows:3840_x6_how:avearge,  0.01,  0.22, *-------            |                   ,  0.00,  4.44
 0, st:0.5_m:50_rows:3840_x6_how:k5,  0.01,  0.13, *--------           |                   ,  0.00,  4.53
 0, st:0.25_m:100_rows:3840_x6_how:avearge,  0.02,  0.22, *--------           |                   ,  0.00,  4.42
 0, st:0.25_m:50_rows:3840_x6_how:avearge,  0.09,  0.51, *   -----           |                   ,  0.00,  3.98
#
 1, st:0.5_m:0_rows:3840_x6_how:avearge,  0.25,  0.53,  *  ---             |                   ,  0.00,  4.41
 1, st:0.5_m:100_rows:3840_x6_how:avearge,  0.27,  0.33,   *----             |                   ,  0.00,  4.67
 1, st:0.5_m:50_rows:3840_x6_how:avearge,  0.35,  0.42, - * -----           |                   ,  0.00,  4.66
