		 data/misc/wc+rs-3d-c4-obj1.csv 		
#
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.34,  0.67, -  *   -----        |                   ,  0.00,  2.57
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.35,  0.65, -  *   -----        |                   ,  0.00,  3.85
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.35,  0.64, -  *   -----        |                   ,  0.00,  3.85
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.38,  0.64, -  *    ----        |                   ,  0.00,  3.18
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.39,  0.65, -  *    ----        |                   ,  0.00,  2.48
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.40,  0.66, -  *    -----       |                   ,  0.00,  3.85
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.42,  0.66, -   *   -----       |                   ,  0.00,  4.04
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.44,  0.63, --  *   -----       |                   ,  0.00,  3.25
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.44,  0.66, --  *   -----       |                   ,  0.00,  3.45
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.45,  0.70, -   *   ----        |                   ,  0.00,  2.53
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.45,  0.50,  -  *  -----        |                   ,  0.00,  3.36
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.45,  0.71, -   *   -----       |                   ,  0.00,  3.06
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.47,  0.51, --  *  -------      |                   ,  0.00,  3.08
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.49,  0.69, -   *   ----        |                   ,  0.00,  3.28
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.50,  0.46,  -  *  ------       |                   ,  0.00,  2.88
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.50,  0.57, --  *   ----        |                   ,  0.00,  2.98
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.51,  0.53, --   *  ----        |                   ,  0.01,  2.84
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.53,  0.60, --   *  -----       |                   ,  0.00,  3.62
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.55,  0.62, --   *  -----       |                   ,  0.00,  3.62
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.58,  0.74, --   *   ------     |                   ,  0.00,  2.89
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.61,  0.59, --    * -----       |                   ,  0.00,  3.01
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.66,  0.54,  --   * ----        |                   ,  0.00,  2.41
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.69,  0.53,  --   * ----        |                   ,  0.00,  2.31
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.71,  0.63, --     *----        |                   ,  0.00,  2.23
