		 data/misc/wc+wc-3d-c4-obj1.csv 		
#
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.38,  0.70, -  *    ----        |                   ,  0.00,  4.04
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.39,  0.68, -  *    ----        |                   ,  0.00,  4.04
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.39,  0.66, -  *    ----        |                   ,  0.00,  4.04
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.39,  0.66, -  *    ----        |                   ,  0.00,  4.04
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.45,  0.72, --  *    ---        |                   ,  0.00,  4.04
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.45,  0.70, -   *   ----        |                   ,  0.00,  4.05
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.47,  0.74, --  *    ----       |                   ,  0.00,  4.13
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.48,  0.48, --  *  ------       |                   ,  0.00,  3.02
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.50,  0.62, --  *   -----       |                   ,  0.00,  4.20
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.51,  0.51, --  *  -------      |                   ,  0.00,  4.04
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.53,  0.61, --   *  ------      |                   ,  0.00,  2.82
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.53,  0.55,  -   * ------       |                   ,  0.00,  4.06
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.53,  0.74, --   *   ----       |                   ,  0.00,  4.13
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.53,  0.71, --   *   -----      |                   ,  0.00,  4.06
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.55,  0.72, --   *   ---        |                   ,  0.00,  2.59
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.56,  0.75, --   *   ----       |                   ,  0.00,  4.12
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.57,  0.71, --   *   ----       |                   ,  0.00,  4.04
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.59,  0.66, --   *   ----       |                   ,  0.00,  3.96
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.62,  0.74, --   *   ---        |                   ,  0.00,  2.76
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.64,  0.72, ---   *  ------     |                   ,  0.00,  4.04
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.73,  0.62,  --   *  ---        |                   ,  0.00,  2.13
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.75,  0.60,  --    * ---        |                   ,  0.00,  2.16
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.76,  0.66, ---    * ---        |                   ,  0.00,  1.96
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.76,  0.60,  --    * ---        |                   ,  0.01,  3.01
