		 data/misc/wc-6d-c1-obj1.csv 		
#
 0, st:0.5_m:0_rows:2880_x6_how:k2,  0.30,  0.46, - *  -------        |                   ,  0.00,  2.55
 0, st:0.25_m:0_rows:2880_x6_how:k3,  0.33,  0.51, -  *  -----         |                   ,  0.00,  3.13
 0, st:0.25_m:0_rows:2880_x6_how:k5,  0.34,  0.54, -  *   ------       |                   ,  0.00,  2.33
 0, st:0.5_m:0_rows:2880_x6_how:k3,  0.36,  0.50, -  *  -------       |                   ,  0.00,  3.31
 0, st:0.5_m:0_rows:2880_x6_how:k5,  0.37,  0.54, -  *  ------        |                   ,  0.00,  3.80
 0, st:0.25_m:0_rows:2880_x6_how:k2,  0.37,  0.54, -  *   -----        |                   ,  0.00,  2.94
 0, st:0.25_m:100_rows:2880_x6_how:k3,  0.38,  0.63, -  *   ------       |                   ,  0.00,  2.77
 0, st:0.5_m:100_rows:2880_x6_how:k3,  0.43,  0.68, --  *   ------      |                   ,  0.00,  3.85
 0, st:0.25_m:100_rows:2880_x6_how:k2,  0.43,  0.70, -   *   ------      |                   ,  0.00,  3.85
 0, st:0.5_m:50_rows:2880_x6_how:k3,  0.44,  0.74, -   *   ------      |                   ,  0.00,  3.80
 0, st:0.5_m:100_rows:2880_x6_how:k2,  0.45,  0.68, -   *   ------      |                   ,  0.00,  3.84
 0, st:0.25_m:100_rows:2880_x6_how:k5,  0.48,  0.70, --  *   ------      |                   ,  0.00,  3.07
 0, st:0.25_m:50_rows:2880_x6_how:k2,  0.48,  0.75, -   *   ------      |                   ,  0.00,  3.65
#
 1, st:0.25_m:50_rows:2880_x6_how:k5,  0.52,  0.67, --   *  ------      |                   ,  0.00,  2.46
 1, st:0.25_m:50_rows:2880_x6_how:k3,  0.54,  0.65, --   *  -----       |                   ,  0.00,  4.16
 1, st:0.5_m:100_rows:2880_x6_how:k5,  0.54,  0.72, --   *   ------     |                   ,  0.00,  3.25
 1, st:0.5_m:50_rows:2880_x6_how:k2,  0.55,  0.76, -    *   -----      |                   ,  0.00,  3.57
 1, st:0.5_m:50_rows:2880_x6_how:k5,  0.55,  0.67, --   *  ------      |                   ,  0.00,  3.27
 1, st:0.25_m:100_rows:2880_x6_how:avearge,  0.63,  0.54,  --   * ------      |                   ,  0.00,  2.63
 1, st:0.25_m:0_rows:2880_x6_how:avearge,  0.64,  0.45,  --   * ----        |                   ,  0.00,  2.89
 1, st:0.25_m:50_rows:2880_x6_how:avearge,  0.67,  0.58,  ---  *  -------    |                   ,  0.01,  3.29
 1, st:0.5_m:0_rows:2880_x6_how:avearge,  0.70,  0.50,  ---  *  -----      |                   ,  0.00,  3.33
 1, st:0.5_m:50_rows:2880_x6_how:avearge,  0.72,  0.59,  ---  *  ----       |                   ,  0.00,  2.94
 1, st:0.5_m:100_rows:2880_x6_how:avearge,  0.73,  0.56,   --   * -----      |                   ,  0.01,  2.76
