		 data/config/Apache_AllMeasurements.csv 		
#
 0, st:0.25_m:50_rows:192_x9_how:k2,  0.27,  0.38, - *  ------------   |                   ,  0.00,  2.89
 0, st:0.5_m:0_rows:192_x9_how:k2,  0.27,  0.41, - *   ------        |                   ,  0.00,  2.37
 0, st:0.25_m:0_rows:192_x9_how:k2,  0.28,  0.38, -  * ------         |                   ,  0.00,  2.18
 0, st:0.5_m:0_rows:192_x9_how:k3,  0.30,  0.45, -  *  -----         |                   ,  0.00,  2.59
 0, st:0.25_m:100_rows:192_x9_how:k2,  0.31,  0.41, -  *  --------------|                   ,  0.00,  3.20
 0, st:0.25_m:100_rows:192_x9_how:k3,  0.31,  0.42, -  *  ------------- |                   ,  0.00,  2.70
 0, st:0.25_m:100_rows:192_x9_how:k5,  0.31,  0.39, -- *  --------------|                   ,  0.00,  3.09
 0, st:0.25_m:50_rows:192_x9_how:k3,  0.31,  0.41, -  *  -----------   |                   ,  0.00,  2.66
 0, st:0.5_m:100_rows:192_x9_how:k2,  0.31,  0.38, -- *  ------------- |                   ,  0.00,  2.89
 0, st:0.5_m:100_rows:192_x9_how:k3,  0.31,  0.45, -  *  ------------  |                   ,  0.00,  2.70
 0, st:0.5_m:50_rows:192_x9_how:k2,  0.31,  0.31, -- * -----------    |                   ,  0.00,  3.01
 0, st:0.5_m:50_rows:192_x9_how:k3,  0.31,  0.48, -  *  ----------    |                   ,  0.00,  2.81
 0, st:0.25_m:0_rows:192_x9_how:k5,  0.33,  0.33, -  * -----          |                   ,  0.00,  2.43
 0, st:0.25_m:0_rows:192_x9_how:k3,  0.33,  0.44, -  *  -----         |                   ,  0.00,  2.35
 0, st:0.25_m:50_rows:192_x9_how:k5,  0.35,  0.46, -- *   -----------  |                   ,  0.00,  3.12
 0, st:0.5_m:0_rows:192_x9_how:k5,  0.35,  0.39, -- *  ------        |                   ,  0.00,  2.48
 0, st:0.5_m:50_rows:192_x9_how:k5,  0.35,  0.46, -  *   -----------  |                   ,  0.00,  2.51
 0, st:0.5_m:100_rows:192_x9_how:k5,  0.38,  0.38, --  * ------------  |                   ,  0.00,  2.70
 0, st:0.5_m:100_rows:192_x9_how:avearge,  0.38,  0.52, --  *  -----------  |                   ,  0.00,  3.42
 0, st:0.25_m:100_rows:192_x9_how:avearge,  0.44,  0.60, --  *    ---------  |                   ,  0.00,  3.26
 0, st:0.5_m:50_rows:192_x9_how:avearge,  0.50,  0.63, --   *   --------   |                   ,  0.00,  3.66
#
 1, st:0.25_m:50_rows:192_x9_how:avearge,  0.58,  0.72,  --   *    -------- |                   ,  0.00,  2.73
 1, st:0.5_m:0_rows:192_x9_how:avearge,  0.69,  0.65,  ---   *   -----    |                   ,  0.00,  2.92
 1, st:0.25_m:0_rows:192_x9_how:avearge,  0.78,  0.57,   ---   *  ------   |                   ,  0.01,  2.74
