		 data/config/SS-A.csv 		
#
 0, st:0.25_m:0_rows:1343_x3_how:k3,  0.01,  0.05, *                   |                   ,  0.00,  3.39
 0, st:0.25_m:0_rows:1343_x3_how:k5,  0.02,  0.07, *                   |                   ,  0.00,  3.31
 0, st:0.25_m:0_rows:1343_x3_how:k2,  0.02,  0.07, *                   |                   ,  0.00,  6.91
 0, st:0.5_m:0_rows:1343_x3_how:k2,  0.02,  0.06, *                   |                   ,  0.00,  3.21
 0, st:0.25_m:100_rows:1343_x3_how:k3,  0.02,  0.07, *                   |                   ,  0.00,  3.14
 0, st:0.5_m:0_rows:1343_x3_how:k5,  0.02,  0.06, *                   |                   ,  0.00,  3.25
 0, st:0.25_m:100_rows:1343_x3_how:k5,  0.02,  0.08, *                   |                   ,  0.00,  3.37
 0, st:0.5_m:100_rows:1343_x3_how:k2,  0.02,  0.06, *                   |                   ,  0.00,  4.66
 0, st:0.5_m:0_rows:1343_x3_how:k3,  0.02,  0.08, *                   |                   ,  0.00,  3.17
 0, st:0.5_m:100_rows:1343_x3_how:k5,  0.02,  0.08, *                   |                   ,  0.00,  3.20
 0, st:0.5_m:50_rows:1343_x3_how:k2,  0.02,  0.08, *                   |                   ,  0.00,  7.44
 0, st:0.25_m:50_rows:1343_x3_how:k2,  0.02,  0.08, *                   |                   ,  0.00,  3.56
 0, st:0.5_m:100_rows:1343_x3_how:k3,  0.02,  0.08, *-                  |                   ,  0.00,  3.27
 0, st:0.5_m:50_rows:1343_x3_how:k3,  0.02,  0.08, *                   |                   ,  0.00,  3.06
 0, st:0.25_m:50_rows:1343_x3_how:k3,  0.02,  0.08, *                   |                   ,  0.00,  3.34
 0, st:0.25_m:100_rows:1343_x3_how:k2,  0.03,  0.09, *                   |                   ,  0.00,  3.35
 0, st:0.5_m:0_rows:1343_x3_how:avearge,  0.03,  0.09, *                   |                   ,  0.00,  3.02
 0, st:0.25_m:50_rows:1343_x3_how:k5,  0.03,  0.11, *                   |                   ,  0.00,  3.04
 0, st:0.5_m:50_rows:1343_x3_how:k5,  0.03,  0.10, *-                  |                   ,  0.00,  3.33
 0, st:0.25_m:0_rows:1343_x3_how:avearge,  0.03,  0.11, *-                  |                   ,  0.00,  3.08
 0, st:0.25_m:100_rows:1343_x3_how:avearge,  0.04,  0.12, *-                  |                   ,  0.00,  4.40
 0, st:0.5_m:100_rows:1343_x3_how:avearge,  0.05,  0.11, *                   |                   ,  0.00,  3.22
#
 1, st:0.5_m:50_rows:1343_x3_how:avearge,  0.08,  0.18, *--                 |                   ,  0.00,  6.93
 1, st:0.25_m:50_rows:1343_x3_how:avearge,  0.09,  0.22, *--                 |                   ,  0.00,  3.22
