		 data/config/SS-B.csv 		
#
 0, st:0.25_m:0_rows:206_x3_how:k3,  0.12,  0.19, -* ----             |                   ,  0.00,  1.92
 0, st:0.5_m:0_rows:206_x3_how:k5,  0.14,  0.24, -*  ---             |                   ,  0.00,  1.47
 0, st:0.5_m:0_rows:206_x3_how:k2,  0.15,  0.24, - * ---             |                   ,  0.00,  1.50
 0, st:0.5_m:0_rows:206_x3_how:k3,  0.15,  0.29, - *  --             |                   ,  0.00,  1.14
 0, st:0.25_m:0_rows:206_x3_how:k5,  0.15,  0.25, - * ---             |                   ,  0.00,  1.54
 0, st:0.5_m:50_rows:206_x3_how:k5,  0.17,  0.26, - * ---             |                   ,  0.00,  1.43
 0, st:0.25_m:0_rows:206_x3_how:k2,  0.17,  0.23, - * ---             |                   ,  0.00,  2.44
 0, st:0.25_m:100_rows:206_x3_how:k5,  0.17,  0.28, - *  --             |                   ,  0.00,  1.77
 0, st:0.25_m:100_rows:206_x3_how:k3,  0.17,  0.30, - *  --             |                   ,  0.00,  1.54
 0, st:0.5_m:50_rows:206_x3_how:k3,  0.18,  0.26, - * ----            |                   ,  0.00,  2.58
 0, st:0.5_m:50_rows:206_x3_how:k2,  0.18,  0.30, - *  --             |                   ,  0.00,  1.56
#
 1, st:0.5_m:100_rows:206_x3_how:k5,  0.19,  0.30, - *  --             |                   ,  0.00,  1.72
 1, st:0.25_m:50_rows:206_x3_how:k2,  0.20,  0.29, - *  -              |                   ,  0.00,  2.06
 1, st:0.25_m:100_rows:206_x3_how:k2,  0.20,  0.33, - *  --             |                   ,  0.00,  2.41
 1, st:0.25_m:50_rows:206_x3_how:k3,  0.21,  0.31, - *  ---            |                   ,  0.00,  2.40
 1, st:0.25_m:50_rows:206_x3_how:k5,  0.22,  0.31, -  * ---            |                   ,  0.00,  2.71
 1, st:0.5_m:100_rows:206_x3_how:k2,  0.22,  0.31, -  * --             |                   ,  0.00,  1.61
 1, st:0.5_m:100_rows:206_x3_how:k3,  0.23,  0.30, -  * --             |                   ,  0.00,  1.54
 1, st:0.5_m:100_rows:206_x3_how:avearge,  0.24,  0.29, -  * -----          |                   ,  0.00,  2.27
 1, st:0.25_m:50_rows:206_x3_how:avearge,  0.27,  0.32, -- *  ------        |                   ,  0.00,  1.71
 1, st:0.25_m:100_rows:206_x3_how:avearge,  0.27,  0.30, -  *  ------        |                   ,  0.00,  2.16
 1, st:0.5_m:0_rows:206_x3_how:avearge,  0.29,  0.35, --  *  -----        |                   ,  0.00,  2.39
 1, st:0.25_m:0_rows:206_x3_how:avearge,  0.31,  0.34, --  *  -----        |                   ,  0.00,  2.51
 1, st:0.5_m:50_rows:206_x3_how:avearge,  0.32,  0.28, --  * ------        |                   ,  0.00,  2.84
