		 data/config/SS-C.csv 		
#
 0, st:0.25_m:0_rows:1512_x3_how:k3,  0.02,  0.08, *---                |                   ,  0.00,  1.71
 0, st:0.5_m:0_rows:1512_x3_how:k2,  0.02,  0.08, *--                 |                   ,  0.00,  2.49
 0, st:0.25_m:0_rows:1512_x3_how:k2,  0.03,  0.10, *--                 |                   ,  0.00,  2.58
 0, st:0.25_m:0_rows:1512_x3_how:k5,  0.03,  0.14, *---                |                   ,  0.00,  2.13
 0, st:0.5_m:0_rows:1512_x3_how:k5,  0.03,  0.12, *---                |                   ,  0.00,  1.94
 0, st:0.5_m:0_rows:1512_x3_how:k3,  0.03,  0.10, *---                |                   ,  0.00,  2.72
 0, st:0.25_m:100_rows:1512_x3_how:k3,  0.04,  0.16, *------             |                   ,  0.00,  2.61
 0, st:0.25_m:100_rows:1512_x3_how:k5,  0.04,  0.15, *-----              |                   ,  0.00,  2.46
 0, st:0.25_m:50_rows:1512_x3_how:k5,  0.04,  0.26, * ------            |                   ,  0.00,  2.85
 0, st:0.5_m:50_rows:1512_x3_how:k2,  0.04,  0.20, * ------            |                   ,  0.00,  2.97
 0, st:0.25_m:100_rows:1512_x3_how:k2,  0.04,  0.14, *------             |                   ,  0.00,  2.72
 0, st:0.5_m:50_rows:1512_x3_how:k3,  0.04,  0.19, * ------            |                   ,  0.00,  2.46
 0, st:0.25_m:50_rows:1512_x3_how:k2,  0.04,  0.18, *-------            |                   ,  0.00,  2.89
 0, st:0.5_m:100_rows:1512_x3_how:k2,  0.04,  0.16, *------             |                   ,  0.00,  2.35
 0, st:0.5_m:100_rows:1512_x3_how:k3,  0.04,  0.15, *------             |                   ,  0.00,  2.75
 0, st:0.25_m:50_rows:1512_x3_how:k3,  0.04,  0.17, *------             |                   ,  0.00,  2.32
 0, st:0.5_m:100_rows:1512_x3_how:k5,  0.05,  0.16, *------             |                   ,  0.00,  2.66
 0, st:0.5_m:50_rows:1512_x3_how:k5,  0.05,  0.22, * -----             |                   ,  0.00,  2.65
 0, st:0.25_m:100_rows:1512_x3_how:avearge,  0.08,  0.42, *   ----            |                   ,  0.00,  3.08
 0, st:0.25_m:50_rows:1512_x3_how:avearge,  0.10,  0.43,  *  --------        |                   ,  0.00,  3.71
 0, st:0.5_m:50_rows:1512_x3_how:avearge,  0.10,  0.41,  *  ----            |                   ,  0.00,  2.79
 0, st:0.5_m:100_rows:1512_x3_how:avearge,  0.11,  0.41,  *  ----            |                   ,  0.00,  2.37
 0, st:0.25_m:0_rows:1512_x3_how:avearge,  0.13,  0.42,  *  ----            |                   ,  0.00,  3.09
 0, st:0.5_m:0_rows:1512_x3_how:avearge,  0.17,  0.47,  *   ----           |                   ,  0.00,  2.31
