		 data/config/SS-D.csv 		
#
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.15,  0.52,  *  ------          |                   ,  0.00,  4.98
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.15,  0.54,  *  ------          |                   ,  0.00,  4.43
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.16,  0.54,  *  ------          |                   ,  0.00,  4.97
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.16,  0.54,  *  ------          |                   ,  0.00,  4.11
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.16,  0.61,  *   -----          |                   ,  0.00,  4.12
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.17,  0.59,  *  ------          |                   ,  0.00,  4.98
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.17,  0.67,  *   -----          |                   ,  0.00,  3.49
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.18,  0.73,  *   -----          |                   ,  0.00,  3.77
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.18,  0.65,  *   -----          |                   ,  0.00,  3.27
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.18,  0.57,  *  ------          |                   ,  0.00,  4.04
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.18,  0.60,  *  ------          |                   ,  0.00,  3.83
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.19,  0.66,  *   -----          |                   ,  0.00,  3.78
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.19,  0.68,  *   -------        |                   ,  0.00,  4.32
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.20,  0.62,  *   -----          |                   ,  0.00,  4.98
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.21,  0.61,  *   -----          |                   ,  0.00,  3.82
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.22,  0.64,  *   -----          |                   ,  0.00,  4.11
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.23,  0.77,  *    ----          |                   ,  0.00,  3.81
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.23,  0.69,  *   -------        |                   ,  0.00,  3.80
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.27,  0.66,   *  -------        |                   ,  0.00,  4.26
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.27,  0.82,   *   ----          |                   ,  0.00,  2.73
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.27,  0.82,   *   ----          |                   ,  0.00,  3.65
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.29,  0.62,   *  -------        |                   ,  0.00,  4.25
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.31,  0.46,   * -------         |                   ,  0.00,  3.29
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.35,  0.51, - *  -------        |                   ,  0.00,  4.11
