		 data/config/SS-G.csv 		
#
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.13,  0.45,  *  --------        |                   ,  0.00,  3.64
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.14,  0.51,  *   -------        |                   ,  0.00,  3.72
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.14,  0.52,  *   -------        |                   ,  0.00,  3.72
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.14,  0.58,  *   -------        |                   ,  0.00,  3.61
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.15,  0.64,  *    ------        |                   ,  0.00,  3.08
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.15,  0.72,  *     -----        |                   ,  0.00,  3.74
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.15,  0.58,  *   --------       |                   ,  0.00,  3.77
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.15,  0.61,  *    -----         |                   ,  0.00,  3.15
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.16,  0.60,  *   --------       |                   ,  0.00,  3.76
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.16,  0.51,  *   -------        |                   ,  0.00,  3.72
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.16,  0.60,  *    -------       |                   ,  0.00,  3.71
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.17,  0.58,  *    -------       |                   ,  0.00,  3.53
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.17,  0.53,  *   --------       |                   ,  0.00,  3.72
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.18,  0.52,  *   -------        |                   ,  0.00,  3.74
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.20,  0.56,  *   ------         |                   ,  0.00,  3.43
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.20,  0.73,  *     ------       |                   ,  0.00,  3.76
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.21,  0.71,   *    ----         |                   ,  0.00,  3.46
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.22,  0.63,   *   ---------     |                   ,  0.00,  3.54
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.26,  0.75,   *    -----        |                   ,  0.00,  2.93
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.27,  0.76,   *    -----        |                   ,  0.00,  3.28
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.28,  0.59,   *   --------      |                   ,  0.00,  3.80
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.28,  0.58,   *   -------       |                   ,  0.00,  4.12
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.31,  0.42, -  * --------       |                   ,  0.00,  3.03
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.35,  0.46, -  *  ---------     |                   ,  0.00,  3.84
