		 data/config/SS-H.csv 		
#
 0, st:0.5_m:0_rows:259_x4_how:k3,  0.21,  0.43,  *  -----           |                   ,  0.00,  3.92
 0, st:0.25_m:100_rows:259_x4_how:k3,  0.25,  0.44,   * ------          |                   ,  0.00,  3.96
 0, st:0.5_m:50_rows:259_x4_how:k2,  0.25,  0.41,   * ------          |                   ,  0.00,  3.63
 0, st:0.25_m:0_rows:259_x4_how:k3,  0.25,  0.50,   *  ----           |                   ,  0.00,  3.40
 0, st:0.25_m:50_rows:259_x4_how:k2,  0.25,  0.43,   * -----           |                   ,  0.00,  3.80
 0, st:0.25_m:100_rows:259_x4_how:k2,  0.25,  0.48,   *  -----          |                   ,  0.00,  3.87
 0, st:0.25_m:0_rows:259_x4_how:k5,  0.26,  0.46,   *  ----           |                   ,  0.00,  3.68
 0, st:0.5_m:50_rows:259_x4_how:k3,  0.26,  0.49,   *  -----          |                   ,  0.00,  3.80
 0, st:0.5_m:100_rows:259_x4_how:k2,  0.27,  0.46, - *  ------         |                   ,  0.00,  4.22
 0, st:0.25_m:0_rows:259_x4_how:k2,  0.28,  0.45,   * -----           |                   ,  0.00,  2.31
 0, st:0.5_m:0_rows:259_x4_how:k2,  0.29,  0.47, - *  ----           |                   ,  0.00,  3.44
 0, st:0.5_m:100_rows:259_x4_how:k3,  0.30,  0.47, - *  ------         |                   ,  0.00,  3.87
 0, st:0.5_m:100_rows:259_x4_how:k5,  0.30,  0.54,   *  -------        |                   ,  0.00,  4.20
 0, st:0.25_m:100_rows:259_x4_how:k5,  0.32,  0.55, - *   -----         |                   ,  0.00,  3.80
 0, st:0.5_m:0_rows:259_x4_how:k5,  0.32,  0.52, - *  ----           |                   ,  0.00,  2.22
 0, st:0.25_m:50_rows:259_x4_how:k5,  0.32,  0.52, - *   -----         |                   ,  0.00,  3.69
 0, st:0.25_m:50_rows:259_x4_how:k3,  0.33,  0.49, - *  -----          |                   ,  0.00,  3.41
 0, st:0.5_m:50_rows:259_x4_how:k5,  0.33,  0.50, -  * -----          |                   ,  0.00,  3.53
 0, st:0.25_m:100_rows:259_x4_how:avearge,  0.33,  0.54, -  *  ------        |                   ,  0.00,  3.84
 0, st:0.5_m:100_rows:259_x4_how:avearge,  0.37,  0.49, -  *  -------       |                   ,  0.00,  4.03
 0, st:0.5_m:50_rows:259_x4_how:avearge,  0.41,  0.50, -  *  -----         |                   ,  0.00,  3.71
 0, st:0.25_m:50_rows:259_x4_how:avearge,  0.42,  0.44, -  * ------         |                   ,  0.00,  3.92
 0, st:0.5_m:0_rows:259_x4_how:avearge,  0.47,  0.47, --  * -----         |                   ,  0.00,  3.71
 0, st:0.25_m:0_rows:259_x4_how:avearge,  0.49,  0.44, --  * -----         |                   ,  0.00,  4.36
