		 data/config/SS-I.csv 		
#
 0, st:0.5_m:0_rows:1080_x5_how:k2,  0.07,  0.09, *----               |                   ,  0.00,  3.88
 0, st:0.5_m:0_rows:1080_x5_how:k3,  0.08,  0.10, *--                 |                   ,  0.00,  2.77
 0, st:0.25_m:0_rows:1080_x5_how:k2,  0.08,  0.12, *----               |                   ,  0.00,  2.13
 0, st:0.25_m:0_rows:1080_x5_how:k3,  0.08,  0.12, *----               |                   ,  0.00,  3.87
 0, st:0.25_m:0_rows:1080_x5_how:k5,  0.09,  0.12, *---                |                   ,  0.00,  2.08
 0, st:0.5_m:100_rows:1080_x5_how:k2,  0.09,  0.15, * -----             |                   ,  0.00,  3.88
 0, st:0.25_m:100_rows:1080_x5_how:k2,  0.10,  0.16,  *----              |                   ,  0.00,  3.88
 0, st:0.5_m:0_rows:1080_x5_how:k5,  0.11,  0.15,  *---               |                   ,  0.00,  3.71
 0, st:0.25_m:100_rows:1080_x5_how:k3,  0.12,  0.24,  *-----             |                   ,  0.00,  3.88
 0, st:0.5_m:100_rows:1080_x5_how:k3,  0.12,  0.22,  *------            |                   ,  0.00,  2.86
 0, st:0.25_m:100_rows:1080_x5_how:k5,  0.12,  0.20,  *-----             |                   ,  0.00,  2.35
 0, st:0.5_m:100_rows:1080_x5_how:k5,  0.14,  0.24,  * -----            |                   ,  0.00,  3.12
 0, st:0.25_m:50_rows:1080_x5_how:k2,  0.14,  0.22,  * ------           |                   ,  0.00,  2.10
 0, st:0.5_m:50_rows:1080_x5_how:k2,  0.16,  0.30,  * ------           |                   ,  0.00,  3.12
 0, st:0.5_m:50_rows:1080_x5_how:k3,  0.18,  0.26,  * -------          |                   ,  0.00,  2.53
 0, st:0.5_m:50_rows:1080_x5_how:k5,  0.18,  0.28,  * ------           |                   ,  0.00,  2.51
 0, st:0.25_m:50_rows:1080_x5_how:k5,  0.23,  0.37,   * ------          |                   ,  0.00,  2.37
 0, st:0.25_m:50_rows:1080_x5_how:k3,  0.23,  0.37, - * ------          |                   ,  0.00,  2.49
#
 1, st:0.5_m:0_rows:1080_x5_how:avearge,  0.30,  0.43, -  * -----          |                   ,  0.00,  3.07
 1, st:0.25_m:0_rows:1080_x5_how:avearge,  0.31,  0.41, -  * -----          |                   ,  0.00,  2.40
 1, st:0.25_m:100_rows:1080_x5_how:avearge,  0.32,  0.47, -  *  ----          |                   ,  0.00,  3.37
 1, st:0.5_m:100_rows:1080_x5_how:avearge,  0.33,  0.47, -  *  -----         |                   ,  0.00,  2.09
 1, st:0.5_m:50_rows:1080_x5_how:avearge,  0.37,  0.47, -- *  ------        |                   ,  0.00,  3.08
 1, st:0.25_m:50_rows:1080_x5_how:avearge,  0.42,  0.48, --  *  ----         |                   ,  0.00,  2.73
