		 data/config/SS-J.csv 		
#
 0, st:0.5_m:0_rows:3840_x6_how:k3,  0.03,  0.20, *----               |                   ,  0.00,  3.18
 0, st:0.5_m:100_rows:3840_x6_how:k2,  0.03,  0.20, *------             |                   ,  0.00,  4.24
 0, st:0.25_m:100_rows:3840_x6_how:k2,  0.04,  0.20, *------             |                   ,  0.00,  4.74
 0, st:0.25_m:0_rows:3840_x6_how:k2,  0.04,  0.23, *------             |                   ,  0.00,  4.88
 0, st:0.5_m:0_rows:3840_x6_how:k2,  0.04,  0.22, *------             |                   ,  0.00,  4.34
 0, st:0.25_m:0_rows:3840_x6_how:k3,  0.04,  0.23, *-----              |                   ,  0.00,  4.46
 0, st:0.5_m:0_rows:3840_x6_how:k5,  0.05,  0.25, * ----              |                   ,  0.00,  3.91
 0, st:0.5_m:100_rows:3840_x6_how:k3,  0.06,  0.21, *------             |                   ,  0.00,  4.51
 0, st:0.25_m:50_rows:3840_x6_how:k2,  0.06,  0.28, * ---------         |                   ,  0.00,  4.46
 0, st:0.5_m:50_rows:3840_x6_how:k2,  0.07,  0.24, *--------           |                   ,  0.00,  4.91
 0, st:0.25_m:0_rows:3840_x6_how:k5,  0.07,  0.28, * -----             |                   ,  0.00,  4.51
 0, st:0.5_m:50_rows:3840_x6_how:k3,  0.08,  0.30, * ------            |                   ,  0.00,  5.02
 0, st:0.25_m:100_rows:3840_x6_how:k5,  0.08,  0.29, * ------            |                   ,  0.00,  4.69
 0, st:0.25_m:100_rows:3840_x6_how:k3,  0.09,  0.30, * ------            |                   ,  0.00,  4.62
 0, st:0.25_m:50_rows:3840_x6_how:k3,  0.10,  0.30, * ------            |                   ,  0.00,  4.92
 0, st:0.5_m:100_rows:3840_x6_how:k5,  0.10,  0.30, * -----             |                   ,  0.00,  4.68
 0, st:0.25_m:50_rows:3840_x6_how:k5,  0.12,  0.33, * ------            |                   ,  0.00,  4.60
 0, st:0.5_m:50_rows:3840_x6_how:k5,  0.13,  0.33, * ------            |                   ,  0.00,  4.62
 0, st:0.5_m:0_rows:3840_x6_how:avearge,  0.17,  0.36,  *------            |                   ,  0.00,  3.74
#
 1, st:0.25_m:0_rows:3840_x6_how:avearge,  0.21,  0.52,  *  -----           |                   ,  0.00,  3.82
 1, st:0.5_m:100_rows:3840_x6_how:avearge,  0.21,  0.49,  *  -----           |                   ,  0.00,  4.09
 1, st:0.5_m:50_rows:3840_x6_how:avearge,  0.22,  0.45,  * ------           |                   ,  0.00,  3.67
 1, st:0.25_m:100_rows:3840_x6_how:avearge,  0.23,  0.43,  * -------          |                   ,  0.00,  5.05
 1, st:0.25_m:50_rows:3840_x6_how:avearge,  0.27,  0.53,   * ------          |                   ,  0.00,  4.55
