		 data/config/SS-K.csv 		
#
 0, st:0.5_m:0_rows:2880_x6_how:k3,  0.04,  0.25, * ---               |                   ,  0.00,  2.91
 0, st:0.25_m:0_rows:2880_x6_how:k2,  0.05,  0.23, * ------            |                   ,  0.00,  2.58
 0, st:0.5_m:0_rows:2880_x6_how:k2,  0.06,  0.21, * -----             |                   ,  0.00,  2.40
 0, st:0.25_m:0_rows:2880_x6_how:k3,  0.07,  0.28, * -------           |                   ,  0.00,  2.31
 0, st:0.25_m:0_rows:2880_x6_how:k5,  0.07,  0.28, * ------            |                   ,  0.00,  2.36
 0, st:0.5_m:0_rows:2880_x6_how:k5,  0.09,  0.25, * ------            |                   ,  0.00,  3.35
 0, st:0.5_m:100_rows:2880_x6_how:k2,  0.10,  0.34, *  --------         |                   ,  0.00,  2.78
 0, st:0.25_m:50_rows:2880_x6_how:k2,  0.10,  0.49, *   ---------       |                   ,  0.00,  3.76
 0, st:0.25_m:100_rows:2880_x6_how:k2,  0.11,  0.32,  * --------         |                   ,  0.00,  4.16
 0, st:0.25_m:100_rows:2880_x6_how:k3,  0.11,  0.38,  * -------          |                   ,  0.00,  3.79
 0, st:0.25_m:100_rows:2880_x6_how:k5,  0.11,  0.43,  *  -------         |                   ,  0.00,  3.73
 0, st:0.5_m:100_rows:2880_x6_how:k5,  0.11,  0.39,  * --------         |                   ,  0.00,  3.00
 0, st:0.5_m:100_rows:2880_x6_how:k3,  0.11,  0.45,  *  -------         |                   ,  0.00,  2.85
 0, st:0.25_m:50_rows:2880_x6_how:k5,  0.13,  0.44,  *  --------        |                   ,  0.00,  3.97
 0, st:0.25_m:50_rows:2880_x6_how:k3,  0.13,  0.43,  *  -------         |                   ,  0.00,  4.03
 0, st:0.5_m:50_rows:2880_x6_how:k5,  0.14,  0.46,  *  -------         |                   ,  0.00,  3.21
 0, st:0.5_m:50_rows:2880_x6_how:k2,  0.14,  0.48,  *  --------        |                   ,  0.00,  4.16
 0, st:0.5_m:50_rows:2880_x6_how:k3,  0.15,  0.53,  *   -------        |                   ,  0.00,  3.32
 0, st:0.25_m:0_rows:2880_x6_how:avearge,  0.17,  0.50,  *   ----           |                   ,  0.00,  3.48
 0, st:0.5_m:0_rows:2880_x6_how:avearge,  0.20,  0.58,  *   -----          |                   ,  0.00,  3.49
 0, st:0.5_m:100_rows:2880_x6_how:avearge,  0.20,  0.54,  *   ------         |                   ,  0.00,  3.62
 0, st:0.25_m:100_rows:2880_x6_how:avearge,  0.23,  0.51,   *  ------         |                   ,  0.00,  3.30
 0, st:0.25_m:50_rows:2880_x6_how:avearge,  0.28,  0.68,   *    -----        |                   ,  0.00,  3.29
 0, st:0.5_m:50_rows:2880_x6_how:avearge,  0.34,  0.67,    *   ------       |                   ,  0.00,  3.94
