		 data/config/SS-L.csv 		
#
 0, st:0.25_m:0_rows:1023_x11_how:k2,  0.12,  0.23,  *--------          |                   ,  0.00,  2.59
 0, st:0.25_m:0_rows:1023_x11_how:k3,  0.12,  0.19,  *--------          |                   ,  0.00,  2.81
 0, st:0.25_m:0_rows:1023_x11_how:k5,  0.12,  0.18,  *--------          |                   ,  0.00,  3.32
 0, st:0.5_m:0_rows:1023_x11_how:k2,  0.12,  0.29,  * ---------        |                   ,  0.00,  3.44
 0, st:0.5_m:0_rows:1023_x11_how:k3,  0.12,  0.31,  *  ------          |                   ,  0.00,  2.26
 0, st:0.5_m:0_rows:1023_x11_how:k5,  0.13,  0.30,  *  -------         |                   ,  0.00,  2.54
 0, st:0.25_m:100_rows:1023_x11_how:k3,  0.16,  0.49, -*    ---------     |                   ,  0.00,  2.76
 0, st:0.5_m:100_rows:1023_x11_how:k2,  0.16,  0.55,  *    ---------     |                   ,  0.00,  2.71
 0, st:0.25_m:100_rows:1023_x11_how:k5,  0.16,  0.43,  *   ---------      |                   ,  0.00,  2.89
 0, st:0.25_m:100_rows:1023_x11_how:k2,  0.17,  0.63,  *     --------     |                   ,  0.00,  3.13
 0, st:0.5_m:100_rows:1023_x11_how:k5,  0.23,  0.49,   *   ---------     |                   ,  0.00,  2.65
 0, st:0.5_m:100_rows:1023_x11_how:k3,  0.23,  0.53, - *    -------      |                   ,  0.00,  2.59
 0, st:0.5_m:50_rows:1023_x11_how:k2,  0.24,  0.58, - *    --------     |                   ,  0.00,  2.80
 0, st:0.5_m:50_rows:1023_x11_how:k3,  0.24,  0.48, - *   --------      |                   ,  0.00,  2.74
 0, st:0.25_m:50_rows:1023_x11_how:k5,  0.24,  0.45, - *   -------       |                   ,  0.00,  3.26
 0, st:0.25_m:50_rows:1023_x11_how:k2,  0.26,  0.64,   *    -----------  |                   ,  0.00,  3.66
 0, st:0.25_m:50_rows:1023_x11_how:k3,  0.27,  0.59, - *    -------      |                   ,  0.00,  2.50
 0, st:0.5_m:50_rows:1023_x11_how:k5,  0.32,  0.55, -  *   -------      |                   ,  0.00,  2.65
#
 1, st:0.5_m:100_rows:1023_x11_how:avearge,  0.49,  0.59, --   *   ------     |                   ,  0.00,  2.77
 1, st:0.25_m:100_rows:1023_x11_how:avearge,  0.53,  0.63, ---  *    -------   |                   ,  0.00,  2.58
 1, st:0.25_m:0_rows:1023_x11_how:avearge,  0.54,  0.61, ---  *   ------     |                   ,  0.00,  2.50
 1, st:0.5_m:0_rows:1023_x11_how:avearge,  0.54,  0.61,  --  *   -------    |                   ,  0.00,  2.48
 1, st:0.25_m:50_rows:1023_x11_how:avearge,  0.55,  0.67,  -    *   ------    |                   ,  0.00,  2.68
 1, st:0.5_m:50_rows:1023_x11_how:avearge,  0.63,  0.62, ---   *   ------    |                   ,  0.00,  2.95
