		 data/config/SS-M.csv 		
#
 0, st:0.5_m:100_rows:864_x17_how:k2,  0.01,  0.04, *---                |                   ,  0.00,  2.72
 0, st:0.5_m:50_rows:864_x17_how:k2,  0.02,  0.05, *---------          |                   ,  0.00,  2.82
 0, st:0.25_m:50_rows:864_x17_how:k2,  0.02,  0.05, *---                |                   ,  0.00,  2.27
 0, st:0.25_m:100_rows:864_x17_how:k3,  0.02,  0.05, *---                |                   ,  0.00,  2.45
 0, st:0.5_m:0_rows:864_x17_how:k2,  0.02,  0.04, *-----              |                   ,  0.00,  2.38
 0, st:0.25_m:0_rows:864_x17_how:k2,  0.02,  0.03, *---                |                   ,  0.00,  2.54
 0, st:0.5_m:100_rows:864_x17_how:k5,  0.02,  0.05, *------             |                   ,  0.00,  2.69
 0, st:0.25_m:100_rows:864_x17_how:k2,  0.02,  0.05, *--------           |                   ,  0.00,  2.71
 0, st:0.25_m:0_rows:864_x17_how:k3,  0.02,  0.05, *--                 |                   ,  0.00,  2.44
 0, st:0.5_m:50_rows:864_x17_how:k3,  0.02,  0.08, *-----              |                   ,  0.00,  2.71
 0, st:0.5_m:100_rows:864_x17_how:k3,  0.02,  0.07, *--------           |                   ,  0.00,  2.66
 0, st:0.5_m:0_rows:864_x17_how:k3,  0.02,  0.05, *----               |                   ,  0.00,  2.44
 0, st:0.25_m:50_rows:864_x17_how:k3,  0.02,  0.07, *------             |                   ,  0.00,  2.32
 0, st:0.25_m:100_rows:864_x17_how:k5,  0.02,  0.08, *-----              |                   ,  0.00,  2.48
 0, st:0.25_m:50_rows:864_x17_how:k5,  0.02,  0.10, *-----              |                   ,  0.00,  2.38
 0, st:0.25_m:0_rows:864_x17_how:k5,  0.02,  0.09, *-------            |                   ,  0.00,  2.72
 0, st:0.5_m:0_rows:864_x17_how:k5,  0.03,  0.09, *----               |                   ,  0.00,  2.47
 0, st:0.5_m:50_rows:864_x17_how:k5,  0.03,  0.13, *----               |                   ,  0.00,  2.46
 0, st:0.5_m:100_rows:864_x17_how:avearge,  0.07,  0.27, *   -------------   |                   ,  0.00,  2.73
 0, st:0.25_m:100_rows:864_x17_how:avearge,  0.07,  0.29,  *  ---------       |                   ,  0.00,  2.54
 0, st:0.5_m:0_rows:864_x17_how:avearge,  0.08,  0.24,  * ----------       |                   ,  0.00,  2.75
 0, st:0.25_m:0_rows:864_x17_how:avearge,  0.12,  0.30,  *  ----------------|                   ,  0.00,  2.67
#
 1, st:0.5_m:50_rows:864_x17_how:avearge,  0.22,  0.59,    *     -----------|--                 ,  0.00,  2.66
 1, st:0.25_m:50_rows:864_x17_how:avearge,  0.28,  0.56,    *    ------------|                   ,  0.00,  2.40
