		 data/config/SS-N.csv 		
#
 0, st:0.25_m:0_rows:53662_x17_how:k2,  0.15,  0.54, * -                 |                   ,  0.00,  3.86
 0, st:0.5_m:0_rows:53662_x17_how:k2,  0.19,  0.58, * -                 |                   ,  0.00,  7.50
 0, st:0.5_m:0_rows:53662_x17_how:k3,  0.21,  0.43, * -                 |                   ,  0.00,  4.58
 0, st:0.25_m:0_rows:53662_x17_how:k3,  0.26,  0.43,  *-                 |                   ,  0.00,  4.22
 0, st:0.25_m:100_rows:53662_x17_how:k2,  0.27,  0.53,  *---               |                   ,  0.00,  4.73
 0, st:0.25_m:100_rows:53662_x17_how:k3,  0.29,  0.47,  *---               |                   ,  0.00,  3.78
 0, st:0.5_m:100_rows:53662_x17_how:k3,  0.30,  0.45,  *---               |                   ,  0.00,  4.85
 0, st:0.25_m:50_rows:53662_x17_how:k2,  0.30,  0.56,  *---               |                   ,  0.00,  4.35
 0, st:0.25_m:50_rows:53662_x17_how:k3,  0.30,  0.46,  *--                |                   ,  0.00,  8.68
 0, st:0.5_m:50_rows:53662_x17_how:k5,  0.30,  0.48,  *--                |                   ,  0.00,  4.80
 0, st:0.5_m:100_rows:53662_x17_how:k2,  0.31,  0.55,  *---               |                   ,  0.00,  8.21
 0, st:0.25_m:0_rows:53662_x17_how:k5,  0.31,  0.46,  *-                 |                   ,  0.00,  4.45
 0, st:0.5_m:100_rows:53662_x17_how:k5,  0.32,  0.46,  *--                |                   ,  0.00,  5.20
 0, st:0.5_m:50_rows:53662_x17_how:k2,  0.32,  0.54,  *---               |                   ,  0.00,  9.67
 0, st:0.5_m:0_rows:53662_x17_how:k5,  0.33,  0.46,  *-                 |                   ,  0.00,  4.80
 0, st:0.25_m:100_rows:53662_x17_how:k5,  0.33,  0.48,  *---               |                   ,  0.00,  7.44
 0, st:0.5_m:50_rows:53662_x17_how:k3,  0.35,  0.48,  *---               |                   ,  0.00,  6.68
 0, st:0.25_m:50_rows:53662_x17_how:k5,  0.38,  0.45,  *---               |                   ,  0.00,  4.50
 0, st:0.5_m:100_rows:53662_x17_how:avearge,  0.47,  0.55, -* --               |                   ,  0.00,  3.78
 0, st:0.25_m:100_rows:53662_x17_how:avearge,  0.48,  0.46, -* -                |                   ,  0.00,  4.51
 0, st:0.5_m:50_rows:53662_x17_how:avearge,  0.52,  0.54, - *---              |                   ,  0.00,  5.53
 0, st:0.25_m:50_rows:53662_x17_how:avearge,  0.52,  0.54, - *--               |                   ,  0.00,  5.55
 0, st:0.5_m:0_rows:53662_x17_how:avearge,  0.54,  0.62,   *-                |                   ,  0.00,  8.55
 0, st:0.25_m:0_rows:53662_x17_how:avearge,  0.59,  0.62,   *-                |                   ,  0.00,  5.63
