		 data/config/SS-O.csv 		
#
 0, st:0.25_m:0_rows:972_x11_how:k3,  0.23,  0.40,  * ------           |                   ,  0.00,  3.97
 0, st:0.25_m:0_rows:972_x11_how:k5,  0.25,  0.46,  *  -------         |                   ,  0.00,  5.21
 0, st:0.5_m:0_rows:972_x11_how:k2,  0.27,  0.50,   * -------         |                   ,  0.00,  4.70
 0, st:0.25_m:0_rows:972_x11_how:k2,  0.27,  0.52,   * ------          |                   ,  0.00,  4.16
 0, st:0.5_m:0_rows:972_x11_how:k5,  0.28,  0.51,   * ------          |                   ,  0.00,  4.46
 0, st:0.5_m:0_rows:972_x11_how:k3,  0.28,  0.50,   * ------          |                   ,  0.00,  3.62
 0, st:0.5_m:100_rows:972_x11_how:k3,  0.28,  0.54,   * ------          |                   ,  0.00,  4.25
 0, st:0.25_m:100_rows:972_x11_how:k5,  0.28,  0.51,   * ------          |                   ,  0.00,  3.48
 0, st:0.25_m:100_rows:972_x11_how:k3,  0.28,  0.53,   *  -----          |                   ,  0.00,  4.52
 0, st:0.5_m:100_rows:972_x11_how:k2,  0.29,  0.55,   *  ------         |                   ,  0.00,  3.86
 0, st:0.5_m:50_rows:972_x11_how:k3,  0.30,  0.54,   *  ------         |                   ,  0.00,  4.26
 0, st:0.5_m:50_rows:972_x11_how:k5,  0.30,  0.54, - *  ------         |                   ,  0.00,  4.14
 0, st:0.25_m:100_rows:972_x11_how:k2,  0.30,  0.52, - *  -------        |                   ,  0.00,  3.83
 0, st:0.5_m:50_rows:972_x11_how:k2,  0.31,  0.65, - *  -------        |                   ,  0.00,  4.09
 0, st:0.25_m:50_rows:972_x11_how:k5,  0.32,  0.55,   *  -----          |                   ,  0.00,  5.20
 0, st:0.25_m:50_rows:972_x11_how:k3,  0.32,  0.60,   *  ------         |                   ,  0.00,  4.85
 0, st:0.25_m:50_rows:972_x11_how:k2,  0.32,  0.60, - *  -------        |                   ,  0.01,  3.88
 0, st:0.5_m:100_rows:972_x11_how:k5,  0.33,  0.52, - *  -----          |                   ,  0.00,  3.75
 0, st:0.25_m:100_rows:972_x11_how:avearge,  0.36,  0.54, - *  ------         |                   ,  0.00,  3.67
 0, st:0.5_m:100_rows:972_x11_how:avearge,  0.36,  0.55, - *  -----          |                   ,  0.00,  3.35
 0, st:0.25_m:0_rows:972_x11_how:avearge,  0.37,  0.56, - *  -----          |                   ,  0.00,  3.38
 0, st:0.5_m:0_rows:972_x11_how:avearge,  0.41,  0.62, -  *  -----         |                   ,  0.01,  3.58
 0, st:0.5_m:50_rows:972_x11_how:avearge,  0.50,  0.57, -  *  ----          |                   ,  0.00,  4.02
 0, st:0.25_m:50_rows:972_x11_how:avearge,  0.52,  0.70, -   *  ----         |                   ,  0.00,  3.33
