		 data/config/SS-P.csv 		
#
 0, st:0.25_m:0_rows:1023_x11_how:k2,  0.12,  0.21,  *------            |                   ,  0.00,  2.67
 0, st:0.25_m:0_rows:1023_x11_how:k3,  0.12,  0.16,  *-------           |                   ,  0.00,  2.81
 0, st:0.5_m:0_rows:1023_x11_how:k2,  0.12,  0.21,  *--------          |                   ,  0.00,  2.84
 0, st:0.5_m:0_rows:1023_x11_how:k3,  0.12,  0.25,  * -----            |                   ,  0.00,  2.18
 0, st:0.25_m:0_rows:1023_x11_how:k5,  0.12,  0.18,  *-------           |                   ,  0.00,  2.56
 0, st:0.5_m:0_rows:1023_x11_how:k5,  0.13,  0.24,  * -------          |                   ,  0.00,  2.45
 0, st:0.25_m:100_rows:1023_x11_how:k5,  0.14,  0.37,  *  ---------       |                   ,  0.00,  2.73
 0, st:0.25_m:100_rows:1023_x11_how:k3,  0.16,  0.40,  *   --------       |                   ,  0.00,  2.75
 0, st:0.25_m:100_rows:1023_x11_how:k2,  0.16,  0.57,  *     -------      |                   ,  0.00,  3.13
 0, st:0.5_m:100_rows:1023_x11_how:k2,  0.16,  0.40,  *   -------        |                   ,  0.00,  2.71
 0, st:0.5_m:100_rows:1023_x11_how:k3,  0.16,  0.40,  *   --------       |                   ,  0.00,  2.59
 0, st:0.5_m:100_rows:1023_x11_how:k5,  0.17,  0.41,  *   --------       |                   ,  0.00,  2.71
 0, st:0.5_m:50_rows:1023_x11_how:k3,  0.17,  0.39, -*   -------        |                   ,  0.00,  2.70
 0, st:0.25_m:50_rows:1023_x11_how:k5,  0.18,  0.40,  *   --------       |                   ,  0.00,  2.85
 0, st:0.5_m:50_rows:1023_x11_how:k2,  0.18,  0.51,   *   --------      |                   ,  0.00,  2.80
 0, st:0.25_m:50_rows:1023_x11_how:k2,  0.21,  0.56,   *    -------      |                   ,  0.00,  3.66
 0, st:0.25_m:50_rows:1023_x11_how:k3,  0.22,  0.49, - *   ------        |                   ,  0.00,  2.49
 0, st:0.5_m:50_rows:1023_x11_how:k5,  0.29,  0.53, -  *   ------       |                   ,  0.00,  2.73
#
 1, st:0.5_m:100_rows:1023_x11_how:avearge,  0.49,  0.59, --   *   ------     |                   ,  0.00,  2.77
 1, st:0.25_m:100_rows:1023_x11_how:avearge,  0.53,  0.63, ---  *    -------   |                   ,  0.00,  2.58
 1, st:0.25_m:0_rows:1023_x11_how:avearge,  0.54,  0.61, ---  *   ------     |                   ,  0.00,  2.50
 1, st:0.5_m:0_rows:1023_x11_how:avearge,  0.54,  0.61,  --  *   -------    |                   ,  0.00,  2.48
 1, st:0.25_m:50_rows:1023_x11_how:avearge,  0.55,  0.67,  -    *   ------    |                   ,  0.00,  2.68
 1, st:0.5_m:50_rows:1023_x11_how:avearge,  0.63,  0.62, ---   *   ------    |                   ,  0.00,  2.95
