		 data/config/SS-Q.csv 		
#
 0, st:0.5_m:100_rows:2736_x13_how:k2,  0.11,  0.29,  * -------          |                   ,  0.00,  1.97
 0, st:0.25_m:50_rows:2736_x13_how:k2,  0.11,  0.27,  * --------         |                   ,  0.00,  2.60
 0, st:0.25_m:0_rows:2736_x13_how:k2,  0.13,  0.34,  *  -----           |                   ,  0.00,  3.02
 0, st:0.5_m:100_rows:2736_x13_how:k3,  0.13,  0.33,  *  --------        |                   ,  0.00,  2.91
 0, st:0.5_m:0_rows:2736_x13_how:k2,  0.15,  0.36,  *   ------         |                   ,  0.00,  1.73
 0, st:0.5_m:0_rows:2736_x13_how:k3,  0.15,  0.31,  *  -----           |                   ,  0.00,  1.97
 0, st:0.5_m:50_rows:2736_x13_how:k3,  0.15,  0.31,  *  -----           |                   ,  0.00,  2.57
 0, st:0.25_m:0_rows:2736_x13_how:k5,  0.16,  0.30,  *  ------          |                   ,  0.00,  2.49
 0, st:0.25_m:100_rows:2736_x13_how:k2,  0.17,  0.38,   *  --------       |                   ,  0.00,  2.29
 0, st:0.25_m:100_rows:2736_x13_how:k3,  0.17,  0.35,   *  -------        |                   ,  0.00,  2.36
 0, st:0.25_m:100_rows:2736_x13_how:k5,  0.17,  0.35,   *  ------         |                   ,  0.00,  2.81
 0, st:0.5_m:100_rows:2736_x13_how:k5,  0.18,  0.35,   *  ------         |                   ,  0.00,  3.23
 0, st:0.5_m:0_rows:2736_x13_how:k5,  0.18,  0.34,   * -------         |                   ,  0.00,  2.52
 0, st:0.25_m:0_rows:2736_x13_how:k3,  0.18,  0.38,   *  ------         |                   ,  0.00,  2.28
 0, st:0.5_m:50_rows:2736_x13_how:k5,  0.18,  0.32,   * --------        |                   ,  0.00,  2.91
 0, st:0.25_m:50_rows:2736_x13_how:k5,  0.19,  0.33,   *  -------        |                   ,  0.00,  3.18
 0, st:0.5_m:50_rows:2736_x13_how:k2,  0.19,  0.41,   *  --------       |                   ,  0.00,  3.14
 0, st:0.5_m:0_rows:2736_x13_how:avearge,  0.22,  0.44,   *   -------       |                   ,  0.00,  2.92
 0, st:0.25_m:50_rows:2736_x13_how:k3,  0.22,  0.42, - *   -------       |                   ,  0.00,  2.67
 0, st:0.25_m:0_rows:2736_x13_how:avearge,  0.28,  0.48, -  *   ------       |                   ,  0.00,  3.02
 0, st:0.5_m:100_rows:2736_x13_how:avearge,  0.30,  0.43, -  *  -------       |                   ,  0.00,  2.89
 0, st:0.25_m:50_rows:2736_x13_how:avearge,  0.33,  0.52, -   *  --------     |                   ,  0.00,  2.55
 0, st:0.25_m:100_rows:2736_x13_how:avearge,  0.34,  0.48, -   *  ------       |                   ,  0.00,  2.66
 0, st:0.5_m:50_rows:2736_x13_how:avearge,  0.36,  0.59, -   *    --------   |                   ,  0.00,  2.71
