		 data/config/SS-T.csv 		
#
 0, st:0.5_m:0_rows:5184_x12_how:k2,  0.01,  0.04, *                   |                   ,  0.00,  3.14
 0, st:0.25_m:0_rows:5184_x12_how:k2,  0.01,  0.04, *-                  |                   ,  0.00,  4.71
 0, st:0.25_m:0_rows:5184_x12_how:k3,  0.01,  0.05, *                   |                   ,  0.00,  3.12
 0, st:0.5_m:0_rows:5184_x12_how:k3,  0.01,  0.05, *                   |                   ,  0.00,  3.45
 0, st:0.25_m:0_rows:5184_x12_how:k5,  0.02,  0.07, *-                  |                   ,  0.00,  3.00
 0, st:0.5_m:0_rows:5184_x12_how:k5,  0.02,  0.06, *-                  |                   ,  0.00,  2.59
 0, st:0.5_m:100_rows:5184_x12_how:k2,  0.02,  0.09, *---                |                   ,  0.00,  3.15
 0, st:0.5_m:100_rows:5184_x12_how:k3,  0.03,  0.11, *----               |                   ,  0.00,  3.14
 0, st:0.25_m:100_rows:5184_x12_how:k2,  0.03,  0.12, *----               |                   ,  0.00,  4.56
 0, st:0.25_m:100_rows:5184_x12_how:k3,  0.03,  0.16, *-----              |                   ,  0.00,  3.10
 0, st:0.25_m:50_rows:5184_x12_how:k2,  0.04,  0.13, *-----              |                   ,  0.00,  4.79
 0, st:0.5_m:50_rows:5184_x12_how:k2,  0.04,  0.13, *------             |                   ,  0.00,  4.56
 0, st:0.5_m:100_rows:5184_x12_how:k5,  0.05,  0.19, *-----              |                   ,  0.00,  4.94
 0, st:0.5_m:50_rows:5184_x12_how:k3,  0.05,  0.16, *-----              |                   ,  0.00,  3.15
 0, st:0.25_m:100_rows:5184_x12_how:k5,  0.05,  0.13, *----               |                   ,  0.00,  3.26
 0, st:0.25_m:0_rows:5184_x12_how:avearge,  0.05,  0.19, *-----              |                   ,  0.00,  3.61
 0, st:0.25_m:50_rows:5184_x12_how:k3,  0.06,  0.16, *-----              |                   ,  0.00,  3.16
 0, st:0.5_m:0_rows:5184_x12_how:avearge,  0.07,  0.27, * -----             |                   ,  0.00,  2.83
 0, st:0.5_m:50_rows:5184_x12_how:k5,  0.07,  0.23, *-------            |                   ,  0.00,  4.99
 0, st:0.25_m:50_rows:5184_x12_how:k5,  0.08,  0.23, *-------            |                   ,  0.00,  4.66
 0, st:0.5_m:100_rows:5184_x12_how:avearge,  0.11,  0.37, *  ------           |                   ,  0.00,  4.58
 0, st:0.25_m:100_rows:5184_x12_how:avearge,  0.14,  0.37,  * -------          |                   ,  0.00,  4.30
 0, st:0.5_m:50_rows:5184_x12_how:avearge,  0.21,  0.62,  *   ------         |                   ,  0.00,  3.53
 0, st:0.25_m:50_rows:5184_x12_how:avearge,  0.22,  0.58,  *   -------        |                   ,  0.00,  4.38
