		 data/config/SS-U.csv 		
#
 0, st:0.5_m:100_rows:4608_x21_how:k2,  0.03,  0.10, *-------            |                   ,  0.00,  3.19
 0, st:0.25_m:0_rows:4608_x21_how:k2,  0.04,  0.08, *---                |                   ,  0.00,  3.24
 0, st:0.25_m:0_rows:4608_x21_how:k3,  0.04,  0.10, *--------           |                   ,  0.00,  2.68
 0, st:0.25_m:100_rows:4608_x21_how:k2,  0.04,  0.09, *--------           |                   ,  0.00,  3.11
 0, st:0.25_m:100_rows:4608_x21_how:k3,  0.04,  0.11, *------             |                   ,  0.00,  2.60
 0, st:0.5_m:0_rows:4608_x21_how:k2,  0.04,  0.09, *---------          |                   ,  0.00,  2.76
 0, st:0.5_m:0_rows:4608_x21_how:k3,  0.04,  0.08, *----               |                   ,  0.00,  3.28
 0, st:0.5_m:0_rows:4608_x21_how:k5,  0.05,  0.13, *----               |                   ,  0.00,  3.13
 0, st:0.25_m:0_rows:4608_x21_how:k5,  0.05,  0.11, *-------            |                   ,  0.00,  2.72
 0, st:0.5_m:100_rows:4608_x21_how:k3,  0.05,  0.11, *------             |                   ,  0.00,  2.70
 0, st:0.5_m:50_rows:4608_x21_how:k2,  0.05,  0.16, *--------           |                   ,  0.00,  2.62
 0, st:0.25_m:50_rows:4608_x21_how:k2,  0.05,  0.15, *-------            |                   ,  0.00,  2.74
 0, st:0.5_m:50_rows:4608_x21_how:k3,  0.08,  0.25, *  -----            |                   ,  0.00,  2.61
 0, st:0.25_m:50_rows:4608_x21_how:k3,  0.08,  0.23, * -------           |                   ,  0.00,  2.72
 0, st:0.25_m:100_rows:4608_x21_how:k5,  0.08,  0.21, * -------           |                   ,  0.00,  2.78
 0, st:0.25_m:0_rows:4608_x21_how:avearge,  0.11,  0.23,  * -------          |                   ,  0.00,  3.19
 0, st:0.5_m:100_rows:4608_x21_how:k5,  0.11,  0.28,  * ---------        |                   ,  0.00,  2.86
 0, st:0.25_m:50_rows:4608_x21_how:k5,  0.11,  0.27,  * ------           |                   ,  0.00,  2.71
 0, st:0.5_m:0_rows:4608_x21_how:avearge,  0.14,  0.30,  * ----------       |                   ,  0.00,  3.59
 0, st:0.5_m:50_rows:4608_x21_how:k5,  0.15,  0.29,  * -------          |                   ,  0.00,  3.29
#
 1, st:0.25_m:100_rows:4608_x21_how:avearge,  0.28,  0.44, -  *  --------      |                   ,  0.00,  3.28
 1, st:0.5_m:100_rows:4608_x21_how:avearge,  0.31,  0.59, -  *   --------     |                   ,  0.00,  2.96
#
 2, st:0.25_m:50_rows:4608_x21_how:avearge,  0.49,  0.68, --   *   -------    |                   ,  0.00,  3.13
 2, st:0.5_m:50_rows:4608_x21_how:avearge,  0.49,  0.63, ---  *    ------    |                   ,  0.00,  3.08
