		 data/config/SS-V.csv 		
#
 0, st:0.25_m:0_rows:6840_x16_how:k2,  0.07,  0.09, *---                |                   ,  0.00,  2.31
 0, st:0.5_m:0_rows:6840_x16_how:k2,  0.08,  0.09, *---                |                   ,  0.00,  2.40
 0, st:0.25_m:0_rows:6840_x16_how:k3,  0.08,  0.11, *---                |                   ,  0.00,  2.41
 0, st:0.5_m:0_rows:6840_x16_how:k3,  0.08,  0.10, *---                |                   ,  0.00,  1.95
 0, st:0.25_m:0_rows:6840_x16_how:k5,  0.09,  0.10, *--                 |                   ,  0.00,  2.95
 0, st:0.5_m:0_rows:6840_x16_how:k5,  0.09,  0.11, *--                 |                   ,  0.00,  1.81
 0, st:0.25_m:100_rows:6840_x16_how:k2,  0.11,  0.34,  * --------         |                   ,  0.00,  2.57
 0, st:0.5_m:100_rows:6840_x16_how:k2,  0.13,  0.35,  * -------          |                   ,  0.00,  4.38
 0, st:0.25_m:50_rows:6840_x16_how:k2,  0.14,  0.53,  *   ------         |                   ,  0.00,  3.13
 0, st:0.5_m:50_rows:6840_x16_how:k2,  0.15,  0.43,  *  ------          |                   ,  0.00,  3.33
 0, st:0.25_m:100_rows:6840_x16_how:k3,  0.15,  0.41,  *  ------          |                   ,  0.00,  3.16
 0, st:0.5_m:100_rows:6840_x16_how:k3,  0.15,  0.33,  * ------           |                   ,  0.00,  2.98
 0, st:0.5_m:100_rows:6840_x16_how:k5,  0.16,  0.38,  *  -----           |                   ,  0.00,  2.62
 0, st:0.25_m:100_rows:6840_x16_how:k5,  0.23,  0.40,   * ------          |                   ,  0.00,  2.65
 0, st:0.25_m:50_rows:6840_x16_how:k3,  0.26,  0.48,   *  -----          |                   ,  0.00,  2.38
 0, st:0.5_m:50_rows:6840_x16_how:k3,  0.28,  0.51,   *  ------         |                   ,  0.00,  2.30
#
 1, st:0.5_m:50_rows:6840_x16_how:k5,  0.33,  0.50, -  * ------         |                   ,  0.00,  2.68
 1, st:0.5_m:0_rows:6840_x16_how:avearge,  0.36,  0.58,    *  ------        |                   ,  0.00,  2.98
 1, st:0.25_m:50_rows:6840_x16_how:k5,  0.36,  0.54, -  *  ------        |                   ,  0.00,  2.52
 1, st:0.25_m:0_rows:6840_x16_how:avearge,  0.38,  0.54, -  *  ------        |                   ,  0.00,  2.62
 1, st:0.5_m:100_rows:6840_x16_how:avearge,  0.48,  0.66, --  *   ----        |                   ,  0.00,  2.45
 1, st:0.25_m:100_rows:6840_x16_how:avearge,  0.48,  0.60, --  *  ------       |                   ,  0.00,  2.65
 1, st:0.5_m:50_rows:6840_x16_how:avearge,  0.61,  0.70, --   *   ------     |                   ,  0.00,  3.06
 1, st:0.25_m:50_rows:6840_x16_how:avearge,  0.63,  0.81, --   *    ----      |                   ,  0.00,  2.79
