		 data/config/SS-W.csv 		
#
 0, st:0.25_m:0_rows:65536_x16_how:k3,  0.41,  0.51, -  *  ------        |                   ,  0.00,  2.86
 0, st:0.5_m:0_rows:65536_x16_how:k3,  0.44,  0.51, -- *  ------        |                   ,  0.00,  3.13
 0, st:0.5_m:50_rows:65536_x16_how:k2,  0.44,  0.50, -- *  ------        |                   ,  0.01,  2.97
 0, st:0.5_m:0_rows:65536_x16_how:k2,  0.44,  0.54, -- *  ------        |                   ,  0.00,  3.59
 0, st:0.5_m:0_rows:65536_x16_how:k5,  0.45,  0.53, --  * ------        |                   ,  0.00,  3.64
 0, st:0.25_m:0_rows:65536_x16_how:k2,  0.46,  0.53, --  *  ------       |                   ,  0.00,  2.96
 0, st:0.25_m:100_rows:65536_x16_how:k3,  0.46,  0.52, --  * ------        |                   ,  0.00,  3.85
 0, st:0.25_m:0_rows:65536_x16_how:k5,  0.46,  0.52, --  * ------        |                   ,  0.00,  3.53
 0, st:0.5_m:100_rows:65536_x16_how:k2,  0.48,  0.56, --  *  ------       |                   ,  0.00,  3.92
 0, st:0.5_m:50_rows:65536_x16_how:k5,  0.49,  0.51, --  * ------        |                   ,  0.00,  3.09
 0, st:0.25_m:100_rows:65536_x16_how:k5,  0.50,  0.51, --  *  -----        |                   ,  0.00,  3.48
 0, st:0.25_m:50_rows:65536_x16_how:k5,  0.50,  0.47, --  * ------        |                   ,  0.00,  3.37
 0, st:0.25_m:100_rows:65536_x16_how:k2,  0.51,  0.57, --  *  ------       |                   ,  0.00,  3.64
 0, st:0.5_m:100_rows:65536_x16_how:k5,  0.52,  0.54, --  *  ------       |                   ,  0.00,  3.25
 0, st:0.25_m:50_rows:65536_x16_how:k2,  0.54,  0.60, --  *   -----       |                   ,  0.01,  4.05
 0, st:0.5_m:50_rows:65536_x16_how:k3,  0.54,  0.59, --  *  -----        |                   ,  0.00,  4.34
 0, st:0.5_m:0_rows:65536_x16_how:avearge,  0.54,  0.57, --  *  -------      |                   ,  0.00,  3.31
 0, st:0.5_m:100_rows:65536_x16_how:k3,  0.54,  0.57, --  *  ------       |                   ,  0.00,  4.46
 0, st:0.25_m:0_rows:65536_x16_how:avearge,  0.56,  0.59,  -  *   -----       |                   ,  0.00,  3.66
 0, st:0.25_m:50_rows:65536_x16_how:k3,  0.57,  0.54, --   * ------       |                   ,  0.00,  3.15
 0, st:0.25_m:100_rows:65536_x16_how:avearge,  0.60,  0.61,  --  *  -----       |                   ,  0.00,  2.88
 0, st:0.5_m:100_rows:65536_x16_how:avearge,  0.65,  0.58,  --  *  -----       |                   ,  0.00,  2.70
 0, st:0.25_m:50_rows:65536_x16_how:avearge,  0.74,  0.71,  --   *  -----      |                   ,  0.00,  3.23
 0, st:0.5_m:50_rows:65536_x16_how:avearge,  0.75,  0.67,  --   *  ----       |                   ,  0.00,  2.90
