		 data/misc/Wine_quality.csv 		
#
 0, st:0.5_m:0_rows:1599_x10_how:k2,  0.14,  0.61,  *  ------          |                   ,  0.00,  3.71
 0, st:0.25_m:0_rows:1599_x10_how:k2,  0.15,  0.63,  *   -----          |                   ,  0.00,  3.71
 0, st:0.5_m:0_rows:1599_x10_how:k3,  0.18,  0.49,  * ------           |                   ,  0.00,  3.03
 0, st:0.25_m:0_rows:1599_x10_how:k5,  0.20,  0.59,  *  ------          |                   ,  0.00,  2.90
 0, st:0.5_m:0_rows:1599_x10_how:k5,  0.21,  0.49,  * -----            |                   ,  0.00,  4.34
 0, st:0.25_m:0_rows:1599_x10_how:k3,  0.25,  0.64,  *   -----          |                   ,  0.00,  3.27
#
 1, st:0.25_m:100_rows:1599_x10_how:k5,  0.36,  0.60, - *   ----          |                   ,  0.00,  2.82
 1, st:0.25_m:100_rows:1599_x10_how:k3,  0.37,  0.77,   *   ------        |                   ,  0.00,  3.32
 1, st:0.25_m:100_rows:1599_x10_how:k2,  0.38,  0.81,    *  ----          |                   ,  0.00,  3.71
 1, st:0.5_m:100_rows:1599_x10_how:k3,  0.40,  0.78,    *  ------        |                   ,  0.00,  4.95
 1, st:0.5_m:50_rows:1599_x10_how:k3,  0.41,  0.69, -  *   ----         |                   ,  0.00,  3.71
 1, st:0.5_m:100_rows:1599_x10_how:k5,  0.42,  0.72, -  *  -----         |                   ,  0.00,  3.35
 1, st:0.5_m:50_rows:1599_x10_how:k2,  0.42,  0.77,    *  -----         |                   ,  0.00,  3.71
 1, st:0.25_m:50_rows:1599_x10_how:k3,  0.43,  0.69, -  *  ----          |                   ,  0.00,  3.29
 1, st:0.5_m:100_rows:1599_x10_how:k2,  0.44,  1.00,    *    ----        |                   ,  0.00,  4.32
 1, st:0.25_m:50_rows:1599_x10_how:k5,  0.47,  0.61, -  *  ----          |                   ,  0.00,  2.93
 1, st:0.5_m:50_rows:1599_x10_how:k5,  0.47,  0.61, -  *  -----         |                   ,  0.00,  3.91
 1, st:0.25_m:0_rows:1599_x10_how:avearge,  0.53,  0.50, --  * -----         |                   ,  0.00,  3.41
 1, st:0.25_m:50_rows:1599_x10_how:avearge,  0.55,  0.56, --  *  -----        |                   ,  0.00,  3.56
 1, st:0.5_m:0_rows:1599_x10_how:avearge,  0.55,  0.52, --  *  ----         |                   ,  0.00,  3.22
 1, st:0.25_m:50_rows:1599_x10_how:k2,  0.56,  0.76, -   *  ---          |                   ,  0.00,  3.25
 1, st:0.5_m:100_rows:1599_x10_how:avearge,  0.61,  0.53,  -  *  -----        |                   ,  0.00,  3.10
 1, st:0.25_m:100_rows:1599_x10_how:avearge,  0.62,  0.61, --   * -----        |                   ,  0.00,  3.36
 1, st:0.5_m:50_rows:1599_x10_how:avearge,  0.64,  0.53,  --  * ----         |                   ,  0.00,  3.47
