		 data/config/X264_AllMeasurements.csv 		
#
 0, st:0.25_m:100_rows:1152_x16_how:k2,  0.12,  0.21,  * -----            |                   ,  0.00,  2.77
 0, st:0.5_m:100_rows:1152_x16_how:k2,  0.14,  0.24,  * ----             |                   ,  0.00,  2.76
 0, st:0.25_m:0_rows:1152_x16_how:k3,  0.14,  0.24,  * ----             |                   ,  0.00,  2.68
 0, st:0.5_m:100_rows:1152_x16_how:k3,  0.14,  0.19,  * -----            |                   ,  0.00,  2.40
 0, st:0.25_m:50_rows:1152_x16_how:k2,  0.14,  0.28,  * -----            |                   ,  0.00,  2.67
 0, st:0.5_m:50_rows:1152_x16_how:k3,  0.15,  0.21,  * ----             |                   ,  0.00,  3.36
 0, st:0.5_m:50_rows:1152_x16_how:k2,  0.15,  0.23,  * ----             |                   ,  0.00,  2.45
 0, st:0.25_m:50_rows:1152_x16_how:k3,  0.15,  0.25,  * ----             |                   ,  0.00,  2.57
 0, st:0.25_m:0_rows:1152_x16_how:k2,  0.15,  0.23,  * -----            |                   ,  0.00,  3.24
 0, st:0.25_m:100_rows:1152_x16_how:k5,  0.15,  0.24,  * ------           |                   ,  0.00,  3.30
 0, st:0.5_m:0_rows:1152_x16_how:k5,  0.15,  0.22,  * -----            |                   ,  0.00,  2.86
 0, st:0.25_m:50_rows:1152_x16_how:k5,  0.16,  0.23,  * -----            |                   ,  0.00,  3.20
 0, st:0.5_m:0_rows:1152_x16_how:k3,  0.16,  0.21,  * -----            |                   ,  0.00,  3.04
 0, st:0.5_m:50_rows:1152_x16_how:k5,  0.16,  0.25,  * ----             |                   ,  0.00,  2.32
 0, st:0.25_m:0_rows:1152_x16_how:k5,  0.16,  0.23, -* -----            |                   ,  0.00,  3.13
 0, st:0.25_m:100_rows:1152_x16_how:k3,  0.16,  0.23, -* ----             |                   ,  0.00,  2.80
 0, st:0.5_m:100_rows:1152_x16_how:k5,  0.16,  0.25,  * -----            |                   ,  0.00,  3.17
 0, st:0.5_m:0_rows:1152_x16_how:k2,  0.17,  0.22, -* -----            |                   ,  0.00,  3.12
 0, st:0.5_m:100_rows:1152_x16_how:avearge,  0.21,  0.33, - *  ------         |                   ,  0.00,  2.54
 0, st:0.25_m:0_rows:1152_x16_how:avearge,  0.22,  0.29, - * ------          |                   ,  0.00,  2.87
 0, st:0.5_m:0_rows:1152_x16_how:avearge,  0.25,  0.31, - *  ------         |                   ,  0.00,  3.05
 0, st:0.25_m:100_rows:1152_x16_how:avearge,  0.26,  0.38, -  *  ------        |                   ,  0.00,  3.21
 0, st:0.25_m:50_rows:1152_x16_how:avearge,  0.36,  0.48, -   *  -------      |                   ,  0.00,  2.84
 0, st:0.5_m:50_rows:1152_x16_how:avearge,  0.37,  0.51, --  *   -------     |                   ,  0.00,  3.15
