		 data/misc/auto93.csv 		
#
 0, st:0.25_m:50_rows:398_x4_how:k2,  0.25,  0.50,   *   -------       |                   ,  0.00,  3.66
 0, st:0.5_m:100_rows:398_x4_how:k2,  0.26,  0.52,   *   -------       |                   ,  0.00,  3.37
 0, st:0.25_m:0_rows:398_x4_how:k2,  0.27,  0.52,   *   -------       |                   ,  0.00,  3.32
 0, st:0.5_m:0_rows:398_x4_how:k2,  0.27,  0.51,   *   -------       |                   ,  0.00,  3.13
 0, st:0.25_m:50_rows:398_x4_how:k3,  0.28,  0.44,    * --------       |                   ,  0.00,  2.40
 0, st:0.25_m:0_rows:398_x4_how:k5,  0.30,  0.48, -  *  -------       |                   ,  0.00,  3.37
 0, st:0.5_m:100_rows:398_x4_how:k3,  0.30,  0.52,    *  -------       |                   ,  0.00,  3.19
 0, st:0.5_m:50_rows:398_x4_how:k3,  0.30,  0.57, -  *   ------       |                   ,  0.00,  2.62
 0, st:0.25_m:0_rows:398_x4_how:k3,  0.30,  0.57, -  *   ------       |                   ,  0.00,  3.49
 0, st:0.5_m:0_rows:398_x4_how:k5,  0.31,  0.43, -  * --------       |                   ,  0.00,  3.26
 0, st:0.5_m:100_rows:398_x4_how:k5,  0.31,  0.59, -  *   ------       |                   ,  0.00,  3.04
 0, st:0.5_m:0_rows:398_x4_how:k3,  0.31,  0.47, -  *  -------       |                   ,  0.00,  3.38
 0, st:0.25_m:100_rows:398_x4_how:k3,  0.31,  0.67,    *   ------       |                   ,  0.00,  3.36
 0, st:0.25_m:100_rows:398_x4_how:k2,  0.32,  0.56,    *   ------       |                   ,  0.00,  3.52
 0, st:0.25_m:100_rows:398_x4_how:k5,  0.34,  0.59, -  *   ------       |                   ,  0.00,  2.97
 0, st:0.5_m:50_rows:398_x4_how:k2,  0.34,  0.61, -  *   ------       |                   ,  0.00,  3.10
 0, st:0.25_m:100_rows:398_x4_how:avearge,  0.34,  0.45, -  *  ------        |                   ,  0.00,  3.47
 0, st:0.5_m:100_rows:398_x4_how:avearge,  0.34,  0.41, -  *  -----         |                   ,  0.00,  2.58
 0, st:0.25_m:50_rows:398_x4_how:k5,  0.34,  0.55, -  *   ------       |                   ,  0.00,  2.73
 0, st:0.5_m:50_rows:398_x4_how:k5,  0.35,  0.49, -  *  -------       |                   ,  0.00,  2.65
 0, st:0.5_m:0_rows:398_x4_how:avearge,  0.36,  0.46, -- *   ----         |                   ,  0.00,  3.03
 0, st:0.25_m:0_rows:398_x4_how:avearge,  0.36,  0.47, -  *  ----          |                   ,  0.00,  2.38
 0, st:0.25_m:50_rows:398_x4_how:avearge,  0.39,  0.51, -   *  ----         |                   ,  0.00,  2.40
 0, st:0.5_m:50_rows:398_x4_how:avearge,  0.39,  0.40, --  * -----         |                   ,  0.00,  2.92
