		 data/process/coc1000.csv 		
#
 0, st:0.5_m:0_rows:1000_x17_how:k5,  0.62,  0.65, -- * ----           |                   ,  0.00,  4.01
 0, st:0.5_m:0_rows:1000_x17_how:k3,  0.64,  0.77, -  *  ----          |                   ,  0.00,  4.72
 0, st:0.25_m:50_rows:1000_x17_how:k5,  0.65,  0.64, -- *  ----          |                   ,  0.00,  5.91
 0, st:0.25_m:100_rows:1000_x17_how:k5,  0.66,  0.78, -  *  -----         |                   ,  0.00,  3.41
 0, st:0.25_m:0_rows:1000_x17_how:k5,  0.67,  0.66, --  * ----          |                   ,  0.00,  4.77
 0, st:0.25_m:0_rows:1000_x17_how:k3,  0.69,  0.79, -   * ----          |                   ,  0.00,  5.25
 0, st:0.25_m:50_rows:1000_x17_how:k3,  0.75,  0.75, --  * -----         |                   ,  0.00,  4.66
 0, st:0.25_m:100_rows:1000_x17_how:avearge,  0.75,  0.59, --  * ---           |                   ,  0.00,  6.36
 0, st:0.5_m:50_rows:1000_x17_how:k5,  0.75,  0.71, --  * -----         |                   ,  0.00,  6.17
 0, st:0.5_m:50_rows:1000_x17_how:k3,  0.76,  0.75, --  * -----         |                   ,  0.00,  3.12
 0, st:0.5_m:0_rows:1000_x17_how:avearge,  0.76,  0.64, --  * ---           |                   ,  0.00,  5.23
 0, st:0.25_m:100_rows:1000_x17_how:k3,  0.76,  0.91, -   *  ----         |                   ,  0.00,  3.92
 0, st:0.5_m:100_rows:1000_x17_how:avearge,  0.78,  0.62, --  * ----          |                   ,  0.00,  4.38
 0, st:0.5_m:0_rows:1000_x17_how:k2,  0.79,  0.82, --  *  ----         |                   ,  0.00,  4.80
 0, st:0.25_m:0_rows:1000_x17_how:avearge,  0.79,  0.55, --  * ---           |                   ,  0.00,  4.77
 0, st:0.25_m:50_rows:1000_x17_how:avearge,  0.79,  0.57, --- * ----          |                   ,  0.00,  5.63
 0, st:0.5_m:100_rows:1000_x17_how:k3,  0.80,  0.88, --  *   -----       |                   ,  0.00,  6.03
 0, st:0.5_m:50_rows:1000_x17_how:avearge,  0.80,  0.62, --  * ----          |                   ,  0.00,  5.04
 0, st:0.25_m:0_rows:1000_x17_how:k2,  0.81,  0.82, --  *  ----         |                   ,  0.00,  5.16
 0, st:0.25_m:100_rows:1000_x17_how:k2,  0.81,  0.87, --  *  -----        |                   ,  0.00,  4.88
 0, st:0.25_m:50_rows:1000_x17_how:k2,  0.81,  0.85, --  *  -----        |                   ,  0.00,  4.45
 0, st:0.5_m:100_rows:1000_x17_how:k2,  0.81,  0.87, --  *  -----        |                   ,  0.00,  5.10
 0, st:0.5_m:50_rows:1000_x17_how:k2,  0.81,  0.91, --  *  -----        |                   ,  0.00,  6.68
 0, st:0.5_m:100_rows:1000_x17_how:k5,  0.84,  0.80, --   * ----         |                   ,  0.00,  4.84
