		 data/hpo/healthCloseIsses12mths0011-easy.csv 		
#
 0, st:0.25_m:50_rows:10000_x5_how:k3,  0.02,  0.07, *------------       |                   ,  0.00,  2.44
 0, st:0.25_m:100_rows:10000_x5_how:k3,  0.02,  0.07, *--------------     |                   ,  0.00,  2.44
 0, st:0.25_m:0_rows:10000_x5_how:k3,  0.02,  0.07, *--------           |                   ,  0.00,  2.44
 0, st:0.5_m:50_rows:10000_x5_how:k2,  0.02,  0.07, *-----------        |                   ,  0.00,  2.44
 0, st:0.5_m:100_rows:10000_x5_how:k2,  0.02,  0.08, *----------------   |                   ,  0.00,  2.44
 0, st:0.5_m:100_rows:10000_x5_how:k3,  0.02,  0.08, *--------------     |                   ,  0.00,  2.44
 0, st:0.5_m:0_rows:10000_x5_how:k3,  0.02,  0.08, *-----------        |                   ,  0.00,  2.44
 0, st:0.25_m:50_rows:10000_x5_how:k2,  0.02,  0.08, *-----------------  |                   ,  0.00,  2.47
 0, st:0.25_m:0_rows:10000_x5_how:k2,  0.02,  0.08, *-----------------  |                   ,  0.00,  2.44
 0, st:0.5_m:0_rows:10000_x5_how:k2,  0.02,  0.09, *-------------------|                   ,  0.00,  2.44
 0, st:0.25_m:100_rows:10000_x5_how:avearge,  0.02,  0.08, *--------------     |                   ,  0.00,  2.22
 0, st:0.25_m:100_rows:10000_x5_how:k5,  0.02,  0.08, *-------------      |                   ,  0.00,  2.44
 0, st:0.25_m:100_rows:10000_x5_how:k2,  0.03,  0.08, *------------------ |                   ,  0.00,  2.44
 0, st:0.5_m:50_rows:10000_x5_how:k5,  0.03,  0.09, *----------------   |                   ,  0.00,  2.47
 0, st:0.25_m:50_rows:10000_x5_how:avearge,  0.03,  0.08, *--------           |                   ,  0.00,  2.03
 0, st:0.5_m:100_rows:10000_x5_how:avearge,  0.03,  0.08, *-------------      |                   ,  0.00,  2.44
 0, st:0.25_m:50_rows:10000_x5_how:k5,  0.03,  0.08, *------------       |                   ,  0.00,  2.44
 0, st:0.5_m:0_rows:10000_x5_how:k5,  0.03,  0.08, *---------------    |                   ,  0.00,  2.44
 0, st:0.5_m:50_rows:10000_x5_how:k3,  0.03,  0.10, *-----------------  |                   ,  0.00,  2.44
 0, st:0.25_m:0_rows:10000_x5_how:k5,  0.03,  0.10, *---------------    |                   ,  0.00,  2.44
 0, st:0.5_m:0_rows:10000_x5_how:avearge,  0.03,  0.09, *----------------   |                   ,  0.00,  2.44
 0, st:0.5_m:100_rows:10000_x5_how:k5,  0.03,  0.09, *-------------      |                   ,  0.00,  2.44
 0, st:0.25_m:0_rows:10000_x5_how:avearge,  0.04,  0.11, *------------------ |                   ,  0.00,  2.17
 0, st:0.5_m:50_rows:10000_x5_how:avearge,  0.04,  0.12, * --------------    |                   ,  0.00,  2.44
