		 data/process/nasa93dem.csv 		
#
 0, st:0.5_m:50_rows:93_x22_how:avearge,  0.24,  0.35,  *--                |                   ,  0.00,  7.55
 0, st:0.5_m:100_rows:93_x22_how:k2,  0.24,  0.44,  *----              |                   ,  0.00,  7.59
 0, st:0.25_m:100_rows:93_x22_how:k2,  0.24,  0.37,  *---               |                   ,  0.00,  6.91
 0, st:0.25_m:0_rows:93_x22_how:k2,  0.26,  0.48,  *---               |                   ,  0.00,  5.78
 0, st:0.25_m:0_rows:93_x22_how:k3,  0.26,  0.37,  *---               |                   ,  0.00,  8.13
 0, st:0.25_m:50_rows:93_x22_how:k3,  0.27,  0.41,  *----              |                   ,  0.00,  7.61
 0, st:0.25_m:100_rows:93_x22_how:avearge,  0.27,  0.47,  *---               |                   ,  0.00,  8.09
 0, st:0.5_m:0_rows:93_x22_how:k3,  0.27,  0.40,  *----              |                   ,  0.00,  7.83
 0, st:0.25_m:0_rows:93_x22_how:k5,  0.27,  0.41,  *----              |                   ,  0.00,  3.55
 0, st:0.5_m:0_rows:93_x22_how:k2,  0.27,  0.40,  *---               |                   ,  0.00,  5.67
 0, st:0.25_m:50_rows:93_x22_how:avearge,  0.27,  0.49,  *---               |                   ,  0.00,  5.73
 0, st:0.5_m:100_rows:93_x22_how:k5,  0.28,  0.48,  *---               |                   ,  0.00,  3.55
 0, st:0.25_m:50_rows:93_x22_how:k5,  0.28,  0.55,  * ----             |                   ,  0.00,  8.16
 0, st:0.25_m:50_rows:93_x22_how:k2,  0.30,  0.55,  * ---              |                   ,  0.00,  8.13
 0, st:0.5_m:100_rows:93_x22_how:k3,  0.30,  0.50,  * ---              |                   ,  0.00,  5.78
 0, st:0.5_m:100_rows:93_x22_how:avearge,  0.30,  0.55,  * -----            |                   ,  0.00,  8.19
 0, st:0.5_m:50_rows:93_x22_how:k5,  0.32,  0.59,  * ---              |                   ,  0.00,  7.59
 0, st:0.25_m:0_rows:93_x22_how:avearge,  0.32,  0.38,  *----              |                   ,  0.00,  7.57
 0, st:0.5_m:50_rows:93_x22_how:k3,  0.34,  0.56,  * ----             |                   ,  0.00,  7.75
 0, st:0.5_m:0_rows:93_x22_how:k5,  0.34,  0.42,  *---               |                   ,  0.00,  7.89
 0, st:0.25_m:100_rows:93_x22_how:k3,  0.36,  0.59,  * ----             |                   ,  0.00,  7.97
 0, st:0.5_m:50_rows:93_x22_how:k2,  0.36,  0.60,  * ------           |                   ,  0.00,  8.26
 0, st:0.25_m:100_rows:93_x22_how:k5,  0.37,  0.63,  * ----             |                   ,  0.00,  7.94
 0, st:0.5_m:0_rows:93_x22_how:avearge,  0.39,  0.33, -*--                |                   ,  0.00,  7.26
