		 data/process/pom3a.csv 		
#
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.54,  0.58,  --   *   -------   |                   ,  0.00,  2.90
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.55,  0.53,  --   *  -------    |                   ,  0.00,  3.02
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.57,  0.62, ---   *   --------- |                   ,  0.00,  3.10
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.58,  0.58,  ---  *   -------   |                   ,  0.00,  2.48
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.58,  0.66,  --   *    ------   |                   ,  0.00,  2.67
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.59,  0.69,  --   *    -------  |                   ,  0.00,  2.68
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.60,  0.63,  --   *    ------   |                   ,  0.00,  2.74
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.60,  0.60,  --    *  -------   |                   ,  0.00,  3.10
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.61,  0.63,  --    *   -------  |                   ,  0.00,  2.90
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.62,  0.68, ---    *   -------- |                   ,  0.00,  3.41
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.62,  0.64, ----   *   -------  |                   ,  0.00,  2.98
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.62,  0.71,  --    *   -------- |                   ,  0.00,  2.91
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.65,  0.68,  ---   *    --------|                   ,  0.00,  3.43
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.65,  0.74, ---    *    --------|                   ,  0.00,  3.37
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.65,  0.69,  ---   *    ------  |                   ,  0.00,  3.08
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.66,  0.69,  ---   *    --------|                   ,  0.00,  3.43
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.68,  0.62,  ---   *   -------- |                   ,  0.00,  3.01
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.70,  0.75,  ---    *    -------|-                  ,  0.00,  3.20
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.71,  0.74,  ---    *   --------|                   ,  0.00,  3.16
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.72,  0.72,  ---    *   --------|                   ,  0.00,  3.42
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.72,  0.58,  ----   *  -------  |                   ,  0.00,  2.50
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.72,  0.66,  ----   *   ------- |                   ,  0.00,  3.06
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.72,  0.65,  ---    *   ------  |                   ,  0.00,  2.86
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.76,  0.66,  ---    *   ----    |                   ,  0.00,  2.59
