		 data/process/pom3b.csv 		
#
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.28,  0.80,   *    -------      |                   ,  0.00,  2.84
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.30,  0.79,   *    ------       |                   ,  0.00,  3.16
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.32,  0.83,   *    --------     |                   ,  0.00,  3.25
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.33,  0.77,   *    ------       |                   ,  0.00,  2.69
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.33,  0.79,    *   -------      |                   ,  0.00,  4.01
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.34,  0.80,    *   --------     |                   ,  0.00,  2.97
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.34,  0.76,    *  -------       |                   ,  0.00,  2.99
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.35,  0.89,    *    -------     |                   ,  0.00,  3.35
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.35,  0.86,    *   -----        |                   ,  0.00,  2.69
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.35,  0.88,    *    ------      |                   ,  0.00,  3.02
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.35,  0.79,    *   -----        |                   ,  0.00,  3.53
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.37,  0.84,    *   --------     |                   ,  0.00,  3.26
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.37,  0.90,    *    ------      |                   ,  0.00,  2.78
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.38,  0.84,    *   --------     |                   ,  0.00,  3.11
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.39,  0.89,    *    -----       |                   ,  0.00,  2.65
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.39,  0.79,    *   ------       |                   ,  0.00,  2.94
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.39,  1.00,    *     --------   |                   ,  0.00,  4.38
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.41,  0.95,    *    --------    |                   ,  0.00,  3.73
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.41,  0.87,    *   ------       |                   ,  0.00,  2.57
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.41,  0.92,    *    -------     |                   ,  0.00,  3.27
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.41,  0.83,    *   -------      |                   ,  0.00,  2.87
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.42,  0.94,    *    ------      |                   ,  0.00,  3.25
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.42,  0.91,    *    -------     |                   ,  0.00,  3.19
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.47,  0.93,     *   ------      |                   ,  0.00,  2.84
