		 data/process/pom3c.csv 		
#
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.58,  0.55,  --  *   ------     |                   ,  0.00,  3.50
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.61,  0.69,  --   *   -------   |                   ,  0.00,  3.64
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.62,  0.67,  --   *   -------   |                   ,  0.00,  3.01
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.63,  0.64,  --   *   -------   |                   ,  0.00,  3.04
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.64,  0.63, ---   *  -------    |                   ,  0.00,  2.78
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.64,  0.66,  --   *   --------- |                   ,  0.00,  3.81
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.65,  0.76,  --   *    -------  |                   ,  0.00,  3.88
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.65,  0.67,  --   *   -------   |                   ,  0.00,  2.96
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.65,  0.72,  --   *   -------   |                   ,  0.00,  2.93
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.66,  0.61,  ---  *   ------    |                   ,  0.00,  2.96
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.67,  0.68,  --   *   ------    |                   ,  0.00,  3.37
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.67,  0.70,  --   *   --------- |                   ,  0.00,  3.58
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.67,  0.67,  --   *   -------   |                   ,  0.00,  3.07
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.67,  0.68,  --   *   ------    |                   ,  0.00,  2.90
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.67,  0.65,  --   *   ------    |                   ,  0.00,  3.07
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.69,  0.76,  --   *    -------- |                   ,  0.00,  3.68
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.70,  0.78,  --    *   -------- |                   ,  0.00,  3.81
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.71,  0.66,  ---   *  -------   |                   ,  0.00,  3.14
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.71,  0.69,  ---   *   -------  |                   ,  0.00,  3.43
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.72,  0.69, ----   *   -------- |                   ,  0.00,  3.95
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.72,  0.72,  ---   *   -----    |                   ,  0.00,  2.75
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.76,  0.73, ----   *   -------  |                   ,  0.00,  3.38
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.79,  0.77,  ---    *   ------  |                   ,  0.00,  3.26
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.81,  0.71,  ---    *  ------   |                   ,  0.00,  2.96
